"NAME_SET","nci60","ctrp","gdscDec15","ccle","nciSclc","almanac","sarcoma","lantern","lantnci","ncats","uniSarcoma","tncats","ukhyun","ancats","acc","nob","prism","gdsc1","gdsc2","accorg","pdxEwing"
"NBI-74330","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","nbi-74330","NA","nbi-74330","NA","NA","NA","NA","NA","NA","NA"
"ICRF-193","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","icrf-193","NA","icrf-193","NA","NA","NA","NA","NA","NA","NA"
"2-IMINOBIOTIN","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2-iminobiotin","NA","2-iminobiotin","NA","NA","NA","NA","NA","NA","NA"
"KU-60019","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","ku-60019","NA","ku-60019","NA","NA","NA","KU-60019","NA","NA","NA"
"AKT-I-1,2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","akt-i-1,2","NA","akt-i-1,2","NA","NA","NA","NA","NA","NA","NA"
"SECNIDAZOLE","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","secnidazole","NA","secnidazole","NA","NA","secnidazole","NA","NA","NA","NA"
"AMPRENAVIR","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","amprenavir","NA","amprenavir","NA","NA","NA","NA","NA","NA","NA"
"NSC-23766|23766","23766","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","nsc-23766","NA","nsc-23766","NA","NA","NSC-23766","NA","NA","NA","NA"
"PF-04979064","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","pf-04979064","NA","pf-04979064","NA","NA","NA","NA","NA","NA","NA"
"GINKGOLIDE A|GINKGOLIDE-A","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","ginkgolide a","NA","ginkgolide a","NA","NA","ginkgolide-A","NA","NA","NA","NA"
"SB-415286","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","sb-415286","NA","sb-415286","NA","NA","NA","NA","NA","NA","NA"
"TAKEDA-6D","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","takeda-6d","NA","takeda-6d","NA","NA","NA","NA","NA","NA","NA"
"PRAMIRACETAM","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","pramiracetam","NA","pramiracetam","NA","NA","NA","NA","NA","NA","NA"
"TG-89","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","tg-89","NA","tg-89","NA","NA","NA","NA","NA","NA","NA"
"TRIDEUTERATED PROPOFOL|PROPOFOL","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","propofol","NA","propofol","NA","NA","NA","NA","NA","NA","NA"
"TEMOCAPRIL (HYDROCHLORIDE)|TEMOCAPRIL HYDROCHLORIDE","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","temocapril hydrochloride","NA","temocapril hydrochloride","NA","NA","temocapril","NA","NA","NA","NA"
"AL-8697","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","al-8697","NA","al-8697","NA","NA","NA","NA","NA","NA","NA"
"RUPINTRIVIR","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","rupintrivir","NA","rupintrivir","NA","NA","NA","NA","NA","NA","NA"
"?-SECRETASE INHIBITOR DBZ|YO-01027","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","yo-01027","NA","yo-01027","NA","NA","YO-01027","NA","NA","NA","NA"
"MCOPPB","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","mcoppb","NA","mcoppb","NA","NA","NA","NA","NA","NA","NA"
"BUFLOMEDIL HYDROCHLORIDE","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","buflomedil hydrochloride","NA","buflomedil hydrochloride","NA","NA","NA","NA","NA","NA","NA"
"ALVELESTAT (AZD9668)|ALVELESTAT","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","alvelestat","NA","alvelestat","NA","NA","AZD9668","NA","NA","NA","NA"
"KETANSERIN","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","ketanserin","NA","ketanserin","NA","NA","NA","NA","NA","NA","NA"
"ETHIONAMIDE","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","ethionamide","NA","ethionamide","NA","NA","NA","NA","NA","NA","NA"
"PRP003-062","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","prp003-062","NA","prp003-062","NA","NA","NA","NA","NA","NA","NA"
"ZOPICLONE","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","zopiclone","NA","zopiclone","NA","NA","NA","NA","NA","NA","NA"
"COMPOUND 36","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","compound 36","NA","compound 36","NA","NA","NA","NA","NA","NA","NA"
"TRIAMCINOLONE ACETONIDE|TRIAMCINOLONE-ACETONIDE","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","triamcinolone acetonide","NA","triamcinolone acetonide","NA","NA","triamcinolone|triamcinolone-acetonide","NA","NA","NA","NA"
"SITAXENTAN","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","sitaxentan","NA","sitaxentan","NA","NA","NA","NA","NA","NA","NA"
"CAY-10581","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","cay-10581","NA","cay-10581","NA","NA","NA","NA","NA","NA","NA"
"CPI-1189","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","cpi-1189","NA","cpi-1189","NA","NA","CPI-1189","NA","NA","NA","NA"
"ERDOSTEINE","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","erdosteine","NA","erdosteine","NA","NA","NA","NA","NA","NA","NA"
"BETANIN","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","betanin","NA","betanin","NA","NA","NA","NA","NA","NA","NA"
"TUROFEXORATE ISOPROPYL","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","turofexorate isopropyl","NA","turofexorate isopropyl","NA","NA","NA","NA","NA","NA","NA"
"VTP-194204|AGN-194204","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","agn-194204","NA","agn-194204","NA","NA","NA","NA","NA","NA","NA"
"ESTETROL","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","estetrol","NA","estetrol","NA","NA","NA","NA","NA","NA","NA"
"NYSTATIN","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","nystatin","NA","nystatin","NA","NA","NA","NA","NA","NA","NA"
"LINOPIRDINE","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","linopirdine","NA","linopirdine","NA","NA","NA","NA","NA","NA","NA"
"FORMONONETIN","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","formononetin","NA","formononetin","NA","NA","NA","NA","NA","NA","NA"
"AVITINIB|ABIVERTINIB","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","abivertinib","NA","abivertinib","NA","NA","NA","NA","NA","NA","NA"
"TERAMEPROCOL|DIMETHYLDIHYDROGUAIARETIC ACID|TETRA-O-METHYL NORDIHYDROGUAIARETIC ACID|BUTANE, 1,4-BIS(3,4-DIMETHOXYPHENYL)-2,3-DIMETHYL-|BENZENE, 1,1'-(2,3-DIMETHYL-1,4-BUTANEDIYL)BIS[3,4-DIMET...|1,4-BIS(3,4-DIMETHOXYPHENTL)-2,3-DIMETHYLBUTANE|136955","136955","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","terameprocol","NA","terameprocol","NA","NA","NA","NA","NA","NA","NA"
"DCC-2618","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","dcc-2618","NA","dcc-2618","NA","NA","NA","NA","NA","NA","NA"
"MERCK-22-6","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","merck-22-6","NA","merck-22-6","NA","NA","NA","NA","NA","NA","NA"
"ANLOTINIB|CATEQUENTINIB","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","catequentinib","NA","catequentinib","NA","NA","NA","NA","NA","NA","NA"
"LIRANAFTATE","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","liranaftate","NA","liranaftate","NA","NA","NA","NA","NA","NA","NA"
"EPLERENONE","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","eplerenone","NA","eplerenone","NA","NA","eplerenone","NA","NA","NA","NA"
"GW-0742","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","gw-0742","NA","gw-0742","NA","NA","NA","NA","NA","NA","NA"
"PF-4800567","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","pf-4800567","NA","pf-4800567","NA","NA","NA","NA","NA","NA","NA"
"SKLB4771","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","sklb4771","NA","sklb4771","NA","NA","NA","NA","NA","NA","NA"
"MIRANSERTIB","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","miransertib","NA","miransertib","NA","NA","NA","NA","NA","NA","NA"
"R-1487","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","r-1487","NA","r-1487","NA","NA","NA","NA","NA","NA","NA"
"G-007-LK","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","g-007-lk","NA","g-007-lk","NA","NA","NA","NA","NA","NA","NA"
"BS-181","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","bs-181","NA","bs-181","NA","NA","NA","NA","NA","NA","NA"
"JNK INHIBITOR V","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","jnk inhibitor v","NA","jnk inhibitor v","NA","NA","NA","NA","NA","NA","NA"
"TALTIRELIN","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","taltirelin","NA","taltirelin","NA","NA","taltirelin","NA","NA","NA","NA"
"KARTOGENIN","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","kartogenin","NA","kartogenin","NA","NA","NA","NA","NA","NA","NA"
"GSK-J4","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","gsk-j4","NA","gsk-j4","NA","NA","GSK-J4","GSK-J4","NA","NA","NA"
"RISPERIDONE","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","risperidone","NA","risperidone","NA","NA","NA","NA","NA","NA","NA"
"PHA-408","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","pha-408","NA","pha-408","NA","NA","NA","NA","NA","NA","NA"
"DANIRIXIN","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","danirixin","NA","danirixin","NA","NA","NA","NA","NA","NA","NA"
"TIRABRUTINIB","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","tirabrutinib","NA","tirabrutinib","NA","NA","NA","NA","NA","NA","NA"
"LIRIMILAST","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","lirimilast","NA","lirimilast","NA","NA","NA","NA","NA","NA","NA"
"PENICILLAMINE|PENICILLAMINE-(D)","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","penicillamine","NA","penicillamine","NA","NA","penicillamine-(D)","NA","NA","NA","NA"
"BIAPENEM","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","biapenem","NA","biapenem","NA","NA","NA","NA","NA","NA","NA"
"A-769662","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","a-769662","NA","a-769662","NA","NA","NA","NA","NA","NA","NA"
"PF-06454589","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","pf-06454589","NA","pf-06454589","NA","NA","NA","NA","NA","NA","NA"
"RAMATROBAN","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","ramatroban","NA","ramatroban","NA","NA","ramatroban","NA","NA","NA","NA"
"POMALIDOMIDE","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","pomalidomide","NA","pomalidomide","NA","NA","pomalidomide","NA","NA","NA","NA"
"SGC-0946","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","sgc-0946","NA","sgc-0946","NA","NA","NA","NA","NA","NA","NA"
"IBANDRONATE|IBANDRONATE SODIUM","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","ibandronate sodium","NA","ibandronate sodium","NA","NA","NA","NA","NA","NA","NA"
"VINPOCETINE","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","vinpocetine","NA","vinpocetine","NA","NA","NA","NA","NA","NA","NA"
"CPI-455","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","cpi-455","NA","cpi-455","NA","NA","NA","NA","NA","NA","NA"
"TOBRAMYCIN","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","tobramycin","NA","tobramycin","NA","NA","NA","NA","NA","NA","NA"
"KN-62","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","kn-62","NA","kn-62","NA","NA","NA","NA","NA","NA","NA"
"TASOCITINIB|TOFACITINIB","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","tofacitinib","NA","tofacitinib","NA","NA","NA","NA","NA","NA","NA"
"VX-765","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","vx-765","NA","vx-765","NA","NA","VX-765","NA","NA","NA","NA"
"GSK-4112","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","gsk-4112","NA","gsk-4112","NA","NA","NA","NA","NA","NA","NA"
"EPZ-005687","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","epz-005687","NA","epz-005687","NA","NA","NA","NA","NA","NA","NA"
"BENZAMIL","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","benzamil","NA","benzamil","NA","NA","NA","NA","NA","NA","NA"
"(+)-TAXIFOLIN|TAXIFOLIN","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","taxifolin","NA","taxifolin","NA","NA","NA","NA","NA","NA","NA"
"DIENOGEST","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","dienogest","NA","dienogest","NA","NA","dienogest","NA","NA","NA","NA"
"U-0126","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","u-0126","NA","u-0126","NA","NA","U-0126","NA","NA","NA","NA"
"AMRUBICIN HYDROCHLORIDE|AMRUBICIN","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","amrubicin","NA","amrubicin","NA","NA","NA","NA","NA","NA","NA"
"PIPERAQUINE","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","piperaquine","NA","piperaquine","NA","NA","NA","NA","NA","NA","NA"
"BUDESONIDE","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","budesonide","NA","budesonide","NA","NA","NA","NA","NA","NA","NA"
"BVT-14225","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","bvt-14225","NA","bvt-14225","NA","NA","NA","NA","NA","NA","NA"
"REVERSINE","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","reversine","NA","reversine","NA","NA","NA","NA","NA","NA","NA"
"ADAPALENE","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","adapalene","NA","adapalene","NA","NA","adapalene","NA","NA","NA","NA"
"MT-DADME-IMMA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","mt-dadme-imma","NA","mt-dadme-imma","NA","NA","NA","NA","NA","NA","NA"
"TRIPTERIN|CELASTROL","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","celastrol","NA","celastrol","NA","NA","NA","NA","NA","NA","NA"
"GENIPOSIDIC ACID","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","geniposidic acid","NA","geniposidic acid","NA","NA","NA","NA","NA","NA","NA"
"NATEGLINIDE","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","nateglinide","NA","nateglinide","NA","NA","NA","NA","NA","NA","NA"
"OCTREOTIDE ACETATE|OCTREOTIDE","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","octreotide","NA","octreotide","NA","NA","NA","NA","NA","NA","NA"
"NALTREXONE HYDROCHLORIDE","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","naltrexone hydrochloride","NA","naltrexone hydrochloride","NA","NA","naltrexone","NA","NA","NA","NA"
"PF-5274857","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","pf-5274857","NA","pf-5274857","NA","NA","NA","NA","NA","NA","NA"
"4SC-202|;4SC-202;(E)-2-(3-(1-((4-(1-METHYL-1H-PYRAZOL-4-YL)PHENY...|(E)-2-(3-(1-((4-(1-METHYL-1H-PYRAZOL-4-YL)PHENYL)SULFONY...|759905","759905","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","4sc-202","NA","4sc-202","NA","NA","NA","NA","NA","NA","NA"
"CROMOLYN|CROMOLYN SODIUM","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","cromolyn sodium","NA","cromolyn sodium","NA","NA","NA","NA","NA","NA","NA"
"BINDARIT","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","bindarit","NA","bindarit","NA","NA","bindarit","NA","NA","NA","NA"
"METOLAZONE","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","metolazone","NA","metolazone","NA","NA","NA","NA","NA","NA","NA"
"SR 33805","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","sr 33805","NA","sr 33805","NA","NA","NA","NA","NA","NA","NA"
"DROXINOSTAT","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","droxinostat","NA","droxinostat","NA","NA","NA","NA","NA","NA","NA"
"PF-06439015","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","pf-06439015","NA","pf-06439015","NA","NA","NA","NA","NA","NA","NA"
"FLUTICASONE FUROATE","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","fluticasone furoate","NA","fluticasone furoate","NA","NA","NA","NA","NA","NA","NA"
"GLPG-0974","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","glpg-0974","NA","glpg-0974","NA","NA","NA","NA","NA","NA","NA"
"PD-153035","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","pd-153035","NA","pd-153035","NA","NA","PD-153035","NA","NA","NA","NA"
"VANCOMYCIN HYDROCHLORIDE","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","vancomycin hydrochloride","NA","vancomycin hydrochloride","NA","NA","NA","NA","NA","NA","NA"
"TRIPTONIDE","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","triptonide","NA","triptonide","NA","NA","NA","NA","NA","NA","NA"
"LAPPACONITINE HYDROBROMIDE|LAPPACONITINE|LAPPACONITE","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","lappaconitine","NA","lappaconitine","NA","NA","lappaconite","NA","NA","NA","NA"
"4',7-DIHYDROXYISOFLAVANONE|DAIDZEIN","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","daidzein","NA","daidzein","NA","NA","NA","NA","NA","NA","NA"
"BEPRIDIL","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","bepridil","NA","bepridil","NA","NA","NA","NA","NA","NA","NA"
"JPH203","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","jph203","NA","jph203","NA","NA","NA","NA","NA","NA","NA"
"GALLAMINE TRIETHIODIDE","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","gallamine triethiodide","NA","gallamine triethiodide","NA","NA","NA","NA","NA","NA","NA"
"ASARININ|SESAMIN","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","sesamin","NA","sesamin","NA","NA","NA","NA","NA","NA","NA"
"TRICHOSTATIN A|TRICHOSTATIN-A","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","trichostatin a","NA","trichostatin a","NA","NA","trichostatin-a","Trichostatin A","NA","NA","NA"
"WAY-100635","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","way-100635","NA","way-100635","NA","NA","NA","NA","NA","NA","NA"
"ONO-4059 ANALOG","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","ono-4059 analog","NA","ono-4059 analog","NA","NA","NA","NA","NA","NA","NA"
"HMSL10089","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","hmsl10089","NA","hmsl10089","NA","NA","NA","NA","NA","NA","NA"
"D 106669|D-106669","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","d-106669","NA","d-106669","NA","NA","NA","NA","NA","NA","NA"
"NCGC00372530","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","ncgc00372530","NA","ncgc00372530","NA","NA","NA","NA","NA","NA","NA"
"CYPROTERONE ACETATE|CYPROTERONE-ACETATE","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","cyproterone acetate","NA","cyproterone acetate","NA","NA","cyproterone-acetate","NA","NA","NA","NA"
"DROSPIRENONE","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","drospirenone","NA","drospirenone","NA","NA","drospirenone","NA","NA","NA","NA"
"AGI-6780","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","agi-6780","NA","agi-6780","NA","NA","NA","AGI-6780","AGI-6780","NA","NA"
"ATN-161","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","atn-161","NA","atn-161","NA","NA","NA","NA","NA","NA","NA"
"JTC-801","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","jtc-801","NA","jtc-801","NA","NA","JTC-801","NA","NA","NA","NA"
"BAICALIN","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","baicalin","NA","baicalin","NA","NA","baicalin","NA","NA","NA","NA"
"IKK-16","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","ikk-16","NA","ikk-16","NA","NA","IKK-16","NA","NA","NA","NA"
"MERCK 5|2-TERT-BUTYL-9-FLUORO-1,6-DIHYDROBENZO[H]IMIDAZO[4,5-F]ISOQUINOLIN-7-ONE","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2-tert-butyl-9-fluoro-1,6-dihydrobenzo[h]imidazo[4,5-f]isoquinolin-7-one","NA","2-tert-butyl-9-fluoro-1,6-dihydrobenzo[h]imidazo[4,5-f]isoquinolin-7-one","NA","NA","NA","NA","NA","NA","NA"
"HM-30181|ENCEQUIDAR","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","encequidar","NA","NA","NA","NA","NA","NA","NA"
"DECERNOTINIB","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","decernotinib","NA","decernotinib","NA","NA","NA","NA","NA","NA","NA"
"CIS-RESVERATROL|RESVERATROL","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","resveratrol","NA","resveratrol","NA","NA","NA","NA","NA","NA","NA"
"RUSKI-201","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","ruski-201","NA","ruski-201","NA","NA","NA","NA","NA","NA","NA"
"HYDROCHLOROTHIAZIDE","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","hydrochlorothiazide","NA","hydrochlorothiazide","NA","NA","NA","NA","NA","NA","NA"
"DEXLANSOPRAZOLE|LANSOPRAZOLE","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","lansoprazole","NA","lansoprazole","NA","NA","NA","NA","NA","NA","NA"
"S-99","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","s-99","NA","s-99","NA","NA","NA","NA","NA","NA","NA"
"AG-494|KETOPROFEN","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","ketoprofen","NA","ketoprofen","NA","NA","ketoprofen","NA","NA","NA","NA"
"4-(4-CHLOROPHENYL)-4-[4-(1H-PYRAZOL-4-YL)PHENYL]PIPERIDINE|AT-7867|AT7867","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","at-7867","NA","at-7867","NA","NA","AT7867","AT7867","NA","NA","NA"
"AMOXAPINE","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","amoxapine","NA","amoxapine","NA","NA","NA","NA","NA","NA","NA"
"PD-0220245","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","pd-0220245","NA","pd-0220245","NA","NA","NA","NA","NA","NA","NA"
"GINSENOSIDE RB1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","ginsenoside rb1","NA","ginsenoside rb1","NA","NA","NA","NA","NA","NA","NA"
"TCN-201","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","tcn-201","NA","tcn-201","NA","NA","NA","NA","NA","NA","NA"
"GNF-6231","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","gnf-6231","NA","gnf-6231","NA","NA","NA","NA","NA","NA","NA"
"METHSCOPOLAMINE (BROMIDE)|(-)-SCOPOLAMINE METHYL BROMIDE","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","(-)-scopolamine methyl bromide","NA","(-)-scopolamine methyl bromide","NA","NA","methscopolamine","NA","NA","NA","NA"
"MILRINONE","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","milrinone","NA","milrinone","NA","NA","NA","NA","NA","NA","NA"
"PT-2385","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","pt-2385","NA","pt-2385","NA","NA","NA","NA","NA","NA","NA"
"NCGC00247866","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","ncgc00247866","NA","ncgc00247866","NA","NA","NA","NA","NA","NA","NA"
"DIDANOSINE","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","didanosine","NA","didanosine","NA","NA","NA","NA","NA","NA","NA"
"BALOFLOXACIN","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","balofloxacin","NA","balofloxacin","NA","NA","NA","NA","NA","NA","NA"
"SPARFLOXACIN","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","sparfloxacin","NA","sparfloxacin","NA","NA","sparfloxacin","NA","NA","NA","NA"
"DAMINOZIDE","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","daminozide","NA","daminozide","NA","NA","NA","NA","NA","NA","NA"
"CDK8I-51","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","cdk8i-51","NA","cdk8i-51","NA","NA","NA","NA","NA","NA","NA"
"BMS-202","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","bms-202","NA","bms-202","NA","NA","NA","NA","NA","NA","NA"
"TAZAROTENE","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","tazarotene","NA","tazarotene","NA","NA","NA","NA","NA","NA","NA"
"MK-3207","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","mk-3207","NA","mk-3207","NA","NA","MK-3207","NA","NA","NA","NA"
"TAZEMETOSTAT","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","tazemetostat","NA","tazemetostat","NA","NA","tazemetostat","NA","NA","NA","NA"
"TRANEXAMIC ACID","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","tranexamic acid","NA","tranexamic acid","NA","NA","NA","NA","NA","NA","NA"
"LOSMAPIMOD","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","losmapimod","NA","losmapimod","NA","NA","NA","NA","NA","NA","NA"
"MRT-83","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","mrt-83","NA","mrt-83","NA","NA","NA","NA","NA","NA","NA"
