,Drug Name,DrugBank ID,PubChem CID,PubChem SID,SMILES,Targets Name,Targets
6762,Olaparib,DB09074,,,FC1=CC=C(CC2=NNC(=O)C3=CC=CC=C23)C=C1C(=O)N1CCN(CC1)C(=O)C1CC1,"['Poly [ADP-ribose] polymerase 1', 'Poly [ADP-ribose] polymerase 2', 'Poly [ADP-ribose] polymerase 3', 'Aldo-keto reductase family 1 member C3']","['P09874', 'Q9UGN5', 'Q9Y6F1', 'P42330']"
6763,Edoxaban,DB09075,10280735,310265005,CN(C)C(=O)[C@H]1CC[C@H](NC(=O)C(=O)NC2=NC=C(Cl)C=C2)[C@@H](C1)NC(=O)C1=NC2=C(CN(C)CC2)S1,['Coagulation factor X'],['P00742']
6764,Umeclidinium,DB09076,11519070,347827824,OC(C1=CC=CC=C1)(C1=CC=CC=C1)C12CC[N+](CCOCC3=CC=CC=C3)(CC1)CC2,"['Muscarinic acetylcholine receptor M2', 'Muscarinic acetylcholine receptor M3', 'Muscarinic acetylcholine receptor M1', 'Muscarinic acetylcholine receptor M4', 'Muscarinic acetylcholine receptor M5']","['P08172', 'P20309', 'P11229', 'P08173', 'P08912']"
6765,Lenvatinib,DB09078,9823820,310265006,COC1=C(C=C2C(OC3=CC=C(NC(=O)NC4CC4)C(Cl)=C3)=CC=NC2=C1)C(N)=O,"['Vascular endothelial growth factor receptor 1', 'Vascular endothelial growth factor receptor 2', 'Vascular endothelial growth factor receptor 3', 'Fibroblast growth factor receptor 1', 'Fibroblast growth factor receptor 2', 'Fibroblast growth factor receptor 3', 'Fibroblast growth factor receptor 4', 'Platelet-derived growth factor receptor alpha', 'Proto-oncogene tyrosine-protein kinase receptor Ret', 'Mast/stem cell growth factor receptor Kit']","['P17948', 'P35968', 'P35916', 'P11362', 'P21802', 'P22607', 'P22455', 'P16234', 'P07949', 'P10721']"
6766,Nintedanib,DB09079,9809715,310265007,COC(=O)C1=CC=C2C(NC(=O)\C2=C(/NC2=CC=C(C=C2)N(C)C(=O)CN2CCN(C)CC2)C2=CC=CC=C2)=C1,"['Vascular endothelial growth factor receptor 1', 'Vascular endothelial growth factor receptor 2', 'Vascular endothelial growth factor receptor 3', 'Platelet-derived growth factor receptor alpha', 'Platelet-derived growth factor receptor beta', 'Fibroblast growth factor receptor 1', 'Fibroblast growth factor receptor 2', 'Fibroblast growth factor receptor 3', 'Receptor-type tyrosine-protein kinase FLT3', 'Tyrosine-protein kinase Lck', 'Tyrosine-protein kinase Lyn', 'Proto-oncogene tyrosine-protein kinase Src']","['P17948', 'P35968', 'P35916', 'P16234', 'P09619', 'P11362', 'P21802', 'P22607', 'P36888', 'P06239', 'P07948', 'P12931']"
6767,Olodaterol,DB09080,11504295,310265008,COC1=CC=C(CC(C)(C)NC[C@H](O)C2=C3OCC(=O)NC3=CC(O)=C2)C=C1,['Beta-2 adrenergic receptor'],['P07550']
6768,Vilanterol,DB09082,10184665,347827825,OCC1=C(O)C=CC(=C1)[C@@H](O)CNCCCCCCOCCOCC1=C(Cl)C=CC=C1Cl,['Beta-2 adrenergic receptor'],['P07550']
6769,Ivabradine,DB09083,132999,310265010,COC1=C(OC)C=C2[C@@H](CN(C)CCCN3CCC4=CC(OC)=C(OC)C=C4CC3=O)CC2=C1,['Potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 2'],['Q9UL51']
6770,Tetracaine,DB09085,5411,310265012,CCCCNC1=CC=C(C=C1)C(=O)OCCN(C)C,"['Ryanodine receptor 1', 'Ryanodine receptor 2', 'Voltage-gated sodium channel alpha subunit']","['P21817', 'Q92736', 'P35498']"
6771,Eugenol,DB09086,3314,310265013,COC1=C(O)C=CC(CC=C)=C1,"['Estrogen receptor alpha', 'Estrogen receptor beta', 'Androgen receptor', 'Transient receptor potential cation channel subfamily V member 3']","['P03372', 'Q92731', 'P10275', 'Q8NET8']"
6772,Amylocaine,DB09088,10767,310265015,CCC(C)(CN(C)C)OC(=O)C1=CC=CC=C1,['Voltage-gated sodium channel alpha subunit'],['P35498']
6773,Trimebutine,DB09089,5573,310265016,CCC(COC(=O)C1=CC(OC)=C(OC)C(OC)=C1)(N(C)C)C1=CC=CC=C1,"['Mu-type opioid receptor', 'Voltage-dependent L-type calcium channel', 'Calcium-activated potassium channel', 'Muscarinic acetylcholine receptor M1', 'Muscarinic acetylcholine receptor M2', 'Muscarinic acetylcholine receptor M3', 'Muscarinic acetylcholine receptor M4', 'Voltage-dependent T-type calcium channel']","['P35372', 'Q13936', 'Q12791', 'P11229', 'P08172', 'P20309', 'P08173', 'O43497']"
6774,Pinaverium,DB09090,40704,310265017,COC1=C(OC)C=C(C[N+]2(CCOCCC3CCC4CC3C4(C)C)CCOCC2)C(Br)=C1,['Voltage-dependent L-type calcium channel subunit alpha-1S'],['Q13698']
6775,Tixocortol,DB09091,162955,310265018,[H][C@@]12CC[C@](O)(C(=O)CS)[C@@]1(C)C[C@H](O)[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C,"['Glucocorticoid receptor', 'Histone deacetylase 2']","['P04150', 'Q92769']"
6776,Xanthinol,DB09092,9913,310265019,CN(CCO)CC(O)CN1C=NC2=C1C(=O)N(C)C(=O)N2C,"['NAD(P) transhydrogenase, mitochondrial', 'Glyceraldehyde-3-phosphate dehydrogenase', 'Isocitrate dehydrogenase [NAD] subunit alpha, mitochondrial', '2-oxoglutarate dehydrogenase, mitochondrial', 'Malate dehydrogenase, mitochondrial', '60S ribosomal protein L3']","['Q13423', 'P04406', 'P50213', 'Q02218', 'P40926', 'P39023']"
6777,Chlortetracycline,DB09093,54708735,310265020,[H][C@@]12C[C@@]3([H])C(=C(O)[C@]1(O)C(=O)C(C(N)=O)=C(O)[C@H]2N(C)C)C(=O)C1=C(O)C=CC(Cl)=C1[C@@]3(C)O,"['16S ribosomal RNA', '30S ribosomal protein S3', '30S ribosomal protein S8', '30S ribosomal protein S19', '30S ribosomal protein S14', '30S ribosomal protein S7', 'ADP-ribosylation factor 1', 'Catalase', 'Ephrin type-B receptor 1', 'Pancreatic triacylglycerol lipase', 'Protein-arginine deiminase type-4']","['P0A7V3', 'P0A7W7', 'P0A7U3', 'P0AG59', 'P02359', 'P84077', 'P29422', 'P54762', 'P16233', 'Q9UM07']"
6778,Difluocortolone,DB09095,11954369,310265022,[H][C@@]12C[C@@H](C)[C@H](C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])C[C@H](F)C2=CC(=O)C=C[C@]12C,"['Annexin A3', 'Glucocorticoid receptor']","['P12429', 'P04150']"
6779,Benzoyl peroxide,DB09096,7187,310265023,O=C(OOC(=O)C1=CC=CC=C1)C1=CC=CC=C1,"['Catalase', 'Glutathione peroxidase', 'Arginine decarboxylase', 'Protein kinase C', 'Superoxide Dismutases']","['P04040', 'O75715', 'Q96A70', 'P17252', 'P08294']"
6780,Quinagolide,DB09097,3086401,310265024,[H][C@]12C[C@@H](CN(CCC)[C@]1([H])CC1=CC=CC(O)=C1C2)NS(=O)(=O)N(CC)CC,"['Dopamine D2 receptor', 'D(1) dopamine receptor']","['P14416', 'P21728']"
6781,Somatrem,DB09098,,347910403,,"['Growth hormone receptor', 'Insulin-like growth factor 1 receptor']","['P10912', 'P08069']"
6782,Somatostatin,DB09099,16129681,310265025,C[C@@H](O)[C@@H]1NC(=O)[C@H](CC2=CC=CC=C2)NC(=O)[C@@H](NC(=O)[C@H](CCCCN)NC(=O)[C@H](CC2=CNC3=C2C=CC=C3)NC(=O)[C@H](CC2=CC=CC=C2)NC(=O)[C@H](CC2=CC=CC=C2)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CSSC[C@H](NC(=O)[C@H](CO)NC1=O)C(O)=O)NC(=O)CNC(=O)[C@H](C)N)[C@@H](C)O,"['Somatostatin receptor type 1', 'Somatostatin receptor type 2', 'Somatostatin receptor type 3', 'Somatostatin receptor type 4', 'Somatostatin receptor type 5']","['P30872', 'P30874', 'P32745', 'P31391', 'P35346']"
6783,"Thyroid, porcine",DB09100,,347910404,,"['Thyroid hormone receptor alpha', 'Thyroid hormone receptor beta']","['P10827', 'P10828']"
6784,Elvitegravir,DB09101,5277135,310265026,[H][C@@](CO)(C(C)C)N1C=C(C(O)=O)C(=O)C2=C1C=C(OC)C(CC1=C(F)C(Cl)=CC=C1)=C2,['Integrase'],['Q7ZJM1']
6785,Daclatasvir,DB09102,25154714,310265027,COC(=O)N[C@@H](C(C)C)C(=O)N1CCC[C@H]1C1=NC=C(N1)C1=CC=C(C=C1)C1=CC=C(C=C1)C1=CN=C(N1)[C@@H]1CCCN1C(=O)[C@@H](NC(=O)OC)C(C)C,['Nonstructural protein 5A'],['Q5L478']
6786,Ancestim,DB09103,,347910405,,['Mast/stem cell growth factor receptor Kit'],['P10721']
6787,Methoxy polyethylene glycol-epoetin beta,DB09107,,347910408,,['Erythropoietin receptor'],['P19235']
6788,Simoctocog alfa,DB09108,,347910409,,['von Willebrand factor'],['P04275']
6789,Turoctocog alfa,DB09109,,347910410,,"['Coagulation factor IX', 'Coagulation factor X', 'Prothrombin']","['P00740', 'P00742', 'P00734']"
6790,Nitrous acid,DB09112,23668193,310265030,ON=O,"['Hemoglobin subunit alpha', 'Hemoglobin subunit beta', 'Myoglobin']","['P69905', 'P68871', 'P02144']"
6791,Calcium carbimide,DB09116,56955933,310265033,[Ca++].[N-]=C=[N-],['Aldehyde dehydrogenase family 3 member B2'],['P48448']
6792,Stiripentol,DB09118,5311454,310265035,CC(C)(C)C(O)\C=C\C1=CC2=C(OCO2)C=C1,"['GABA(A) Receptor', 'L-lactate dehydrogenase A chain', 'L-lactate dehydrogenase B chain']","['P14867', 'P00338', 'P07195']"
6793,Eslicarbazepine acetate,DB09119,179344,310265036,CC(=O)O[C@H]1CC2=CC=CC=C2N(C(N)=O)C2=CC=CC=C12,['P2X purinoceptor 4'],['Q99571']
6794,Zucapsaicin,DB09120,1548942,310265037,COC1=C(O)C=CC(CNC(=O)CCCC\C=C/C(C)C)=C1,['Transient receptor potential cation channel subfamily V member 1'],['Q8NER1']
6795,Aurothioglucose,DB09121,6104,310265038,OC[C@H]1O[C@H](S[Au])[C@H](O)[C@@H](O)[C@@H]1O,"['Adenylate cyclase type 1', 'Adenylate cyclase type 2', 'Adenylate cyclase type 5']","['Q08828', 'Q08462', 'O95622']"
6796,Peginterferon beta-1a,DB09122,,347910413,,['Interferon alpha/beta receptor 1'],['P17181']
6797,Dienogest,DB09123,68861,310265039,[H][C@@]12CC[C@@](O)(CC#N)[C@@]1(C)CCC1=C3CCC(=O)C=C3CC[C@@]21[H],"['Progesterone receptor', 'Androgen receptor']","['P06401', 'P10275']"
6798,Medrogestone,DB09124,9949848,310265040,[H][C@@]12CC[C@](C)(C(C)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])C=C(C)C2=CC(=O)CC[C@]12C,['Progesterone receptor'],['P06401']
6799,Chorionic Gonadotropin (Human),DB09126,,347910414,,['Lutropin-choriogonadotropic hormone receptor'],['P22888']
6800,Brexpiprazole,DB09128,11978813,310265043,O=C1NC2=CC(OCCCCN3CCN(CC3)C3=C4C=CSC4=CC=C3)=CC=C2C=C1,"['5-hydroxytryptamine receptor 1A', 'Dopamine D2 receptor', '5-hydroxytryptamine receptor 2A', 'Alpha-2C adrenergic receptor', 'Alpha-1B adrenergic receptor']","['P08908', 'P14416', 'P28223', 'P18825', 'P35368']"
6801,Chromic chloride,DB09129,6452300,310265044,[Cl-].[Cl-].[Cl-].[Cr+3],['Insulin receptor'],['P06213']
6802,Copper,DB09130,23978,310265045,[Cu],"['Amyloid beta A4 protein', 'Adenosylhomocysteinase', 'Histone H2B type 1-C/E/F/G/I', 'Glyceraldehyde-3-phosphate dehydrogenase', 'Nucleoside diphosphate kinase A', 'Histone H1.4', 'Peroxiredoxin-1', 'Protein S100-A8', '40S ribosomal protein SA', 'Actin, cytoplasmic 2', 'Alpha-enolase', 'Elongation factor 1-alpha 1', 'Keratin, type II cytoskeletal 8', 'Protein disulfide-isomerase', 'Protein disulfide-isomerase A3', '60 kDa heat shock protein, mitochondrial', 'Heat shock 70 kDa protein 13', '78 kDa glucose-regulated protein', 'Endoplasmin', 'Serotransferrin', 'Cell growth-regulating nucleolar protein', '40S ribosomal protein S2', 'Serine/arginine-rich splicing factor 1', 'Heterogeneous nuclear ribonucleoproteins A2/B1', 'Heterogeneous nuclear ribonucleoprotein H', 'Heterogeneous nuclear ribonucleoprotein H3', 'Cobalt-precorrin-5B C(1)-methyltransferase', 'Heterogeneous nuclear ribonucleoprotein L', 'Splicing factor, proline- and glutamine-rich', 'Splicing factor 3A subunit 2', 'Receptor of activated protein C kinase 1', 'Alpha-actinin-1', 'Aminoacylase-1', 'Annexin A4', 'Annexin A5', 'Calreticulin', 'Pyruvate kinase PKM', 'Alcohol dehydrogenase [NADP(+)]', 'NADH-cytochrome b5 reductase 3', 'Glutathione reductase, mitochondrial', 'Transketolase', 'Peroxiredoxin-2', 'Peroxiredoxin-6', 'Peptidyl-prolyl cis-trans isomerase A', 'Heat shock cognate 71 kDa protein', 'Heat shock protein HSP 90-alpha', 'Prostaglandin E synthase 3', 'Stress-induced-phosphoprotein 1', 'Translation elongation factor 1 alpha 1-like 14', 'Eukaryotic translation initiation factor 6', 'Eukaryotic initiation factor 4A-I', 'Glucose-6-phosphate isomerase', 'L-lactate dehydrogenase A chain', 'Phosphoglycerate kinase 1', 'Tubulin alpha-3C/D chain', 'Tubulin beta chain', 'Cofilin-1', '14-3-3 protein beta/alpha', 'Aspartate aminotransferase, cytoplasmic', 'Glutathione synthetase', 'Hepatoma-derived growth factor', 'Isocitrate dehydrogenase [NAD] subunit alpha, mitochondrial', 'Chloride intracellular channel protein 1', 'Proteasome activator complex subunit 1', 'Phosphatidylethanolamine-binding protein 1', 'Phosphoglycerate mutase 1', 'Ran-specific GTPase-activating protein', 'UDP-glucose 6-dehydrogenase', 'Beta-2-microglobulin', 'Protein SCO1 homolog, mitochondrial', 'Alternative prion protein', 'Glycine receptor subunit alpha-1', 'Huntingtin', 'Endonuclease 8-like 1', 'Endonuclease 8-like 2', 'Hephaestin-like protein 1', 'Plasminogen activator inhibitor 1', 'Protein S100-A2', 'Protein S100-A4', 'Alpha-synuclein', 'Brain-derived neurotrophic factor', 'Protein DJ-1', 'Islet amyloid polypeptide', 'Tachykinin-3', 'Alpha-1B-glycoprotein', 'Afamin', 'Angiotensinogen', 'Alpha-2-HS-glycoprotein', 'Serum amyloid P-component', 'Apolipoprotein A-I', 'Apolipoprotein A-II', 'Apolipoprotein A-IV', 'Apolipoprotein B receptor', 'Apolipoprotein C-II', 'Apolipoprotein C-III', 'Apolipoprotein D', 'Apolipoprotein E', 'Beta-2-glycoprotein 1', 'Zinc-alpha-2-glycoprotein', 'Complement C1q subcomponent subunit C', 'Complement C1s subcomponent', 'Complement C3', 'Complement C4-B', 'C4b-binding protein alpha chain', 'Complement C5', 'Complement component C8 beta chain', 'Complement component C9', 'Complement factor H', 'Complement factor I', 'Tetranectin', 'Clusterin', 'Prothrombin', 'Complement component 1 Q subcomponent-binding protein, mitochondrial', 'Gelsolin', 'Hemoglobin subunit alpha', 'Hemoglobin subunit beta', 'Chromobox protein homolog 5', 'Haptoglobin-related protein', 'Insulin-like growth factor-binding protein complex acid labile subunit', 'Ig gamma-1 chain C region', 'Ig gamma-4 chain C region', 'Ig kappa chain V-III region GOL', 'Immunoglobulin lambda-like polypeptide 1', 'Inter-alpha-trypsin inhibitor heavy chain H2', 'Kininogen-1', 'Keratin, type II cytoskeletal 1', 'Keratin, type I cytoskeletal 10', 'Keratin, type II cytoskeletal 2 epidermal', 'Keratin, type I cytoskeletal 9', 'Leucine-rich alpha-2-glycoprotein', 'Lumican', 'N-acetylmuramoyl-L-alanine amidase', 'Plasminogen', 'Serum paraoxonase/arylesterase 1', 'Platelet basic protein', 'Alpha-1-antitrypsin', 'Kallistatin', 'Corticosteroid-binding globulin', 'Thyroxine-binding globulin', 'Antithrombin-III', 'Heparin cofactor 2', 'Pigment epithelium-derived factor', 'Alpha-2-antiplasmin', 'Plasma protease C1 inhibitor', 'Transthyretin', 'Vitronectin', 'Amyloid-like protein 1']","['P05067', 'P23526', 'P62807', 'P04406', 'P15531', 'P10412', 'Q06830', 'P05109', 'P08865', 'P63261', 'P06733', 'P68104', 'P05787', 'P07237', 'P30101', 'P10809', 'P48723', 'P11021', 'P14625', 'P02787', 'Q08288', 'P15880', 'Q07955', 'P22626', 'P31943', 'P31942', 'P61987', 'P14866', 'P23246', 'Q15428', 'P63244', 'P12814', 'Q03154', 'P09525', 'P08758', 'P27797', 'P14618', 'P14550', 'P00387', 'P00390', 'P29401', 'P32119', 'P30041', 'P62937', 'P11142', 'P07900', 'Q15185', 'P31948', 'Q96RE1', 'P56537', 'P60842', 'P06744', 'P00338', 'P00558', 'Q13748', 'P07437', 'P23528', 'P31946', 'P17174', 'P48637', 'P51858', 'P50213', 'O00299', 'Q06323', 'P30086', 'P18669', 'P43487', 'O60701', 'P61769', 'O75880', 'F7VJQ1', 'P23415', 'P42858', 'Q96FI4', 'Q969S2', 'Q6MZM0', 'P05121', 'P29034', 'P26447', 'P37840', 'P23560', 'Q99497', 'P10997', 'Q9UHF0', 'P04217', 'P43652', 'P01019', 'P02765', 'P02743', 'P02647', 'P02652', 'P06727', 'Q0VD83', 'P02655', 'P02656', 'P05090', 'P02649', 'P02749', 'P25311', 'P02747', 'P09871', 'P01024', 'P0C0L5', 'P04003', 'P01031', 'P07358', 'P02748', 'P08603', 'P05156', 'P05452', 'P10909', 'P00734', 'Q07021', 'P06396', 'P69905', 'P68871', 'P45973', 'P00739', 'P35858', 'P01857', 'P01861', 'P01619', 'P15814', 'P19823', 'P01042', 'P04264', 'P13645', 'P35908', 'P35527', 'P02750', 'P51884', 'Q96PD5', 'P00747', 'P27169', 'P02775', 'P01009', 'P29622', 'P08185', 'P05543', 'P01008', 'P05546', 'P36955', 'P08697', 'P05155', 'P02766', 'P04004', 'P51693']"
6803,Cupric Chloride,DB09131,24014,310265046,Cl[Cu]Cl,"['Vitamin K-dependent protein C', 'Cystatin-B']","['P04070', 'P04080']"
6804,Oxygen,DB09140,977,310265054,O=O,"['Cytochrome c oxidase subunit 1', 'NADPH oxidase 1']","['P00395', 'Q9Y5S8']"
6805,Protamine sulfate,DB09141,,347910415,,"['Coagulation factor X', 'Antithrombin-III']","['P00742', 'P01008']"
6806,Sonidegib,DB09143,24775005,310265056,[H][C@]1(C)CN(C[C@@]([H])(C)O1)C1=CC=C(NC(=O)C2=CC=CC(=C2C)C2=CC=C(OC(F)(F)F)C=C2)C=N1,['Smoothened homolog'],['Q99835']
6807,Ferric pyrophosphate,DB09147,24877,310265060,[Fe+3].[Fe+3].[Fe+3].[Fe+3].[O-]P([O-])(=O)OP([O-])([O-])=O.[O-]P([O-])(=O)OP([O-])([O-])=O.[O-]P([O-])(=O)OP([O-])([O-])=O,"['Ferritin light chain', 'Hemoglobin subunit alpha', 'Hemoglobin subunit beta']","['P02792', 'P69905', 'P68871']"
6808,Florbetaben (18F),DB09148,11501341,310265061,CNC1=CC=C(\C=C\C2=CC=C(OCCOCCOCC[18F])C=C2)C=C1,['Amyloid beta A4 protein'],['P05067']
6809,Florbetapir (18F),DB09149,24822371,310265062,[H]N(C1=C([H])C([H])=C(\C([H])=C(/[H])C2=C([H])N=C(OC([H])([H])C([H])([H])OC([H])([H])C([H])([H])OC([H])([H])C([H])([H])[18F])C([H])=C2[H])C([H])=C1[H])C([H])([H])[H],['Amyloid beta A4 protein'],['P05067']
6810,Flutemetamol (18F),DB09151,15950376,310265064,CNC1=C([18F])C=C(C=C1)C1=NC2=CC=C(O)C=C2S1,['Amyloid beta A4 protein'],['P05067']
6811,Etizolam,DB09166,3307,310265075,CCC1=CC2=C(S1)N1C(C)=NN=C1CN=C2C1=CC=CC=C1Cl,"['GABA(A) Receptor', 'GABA(A) Receptor Benzodiazepine Binding Site', 'Platelet-activating factor receptor']","['P14867', 'P14867', 'P25105']"
6812,Dosulepin,DB09167,5284550,310265076,CN(C)CC\C=C1/C2=CC=CC=C2CSC2=CC=CC=C12,"['5-hydroxytryptamine receptor 1A', '5-hydroxytryptamine receptor 2A', 'Histamine H1 receptor', 'Muscarinic acetylcholine receptor M1', 'Muscarinic acetylcholine receptor M2', 'Muscarinic acetylcholine receptor M3', 'Muscarinic acetylcholine receptor M4', 'Muscarinic acetylcholine receptor M5', 'Alpha-2 adrenergic receptors', 'Alpha-1 adrenergic receptors', 'Sodium-dependent noradrenaline transporter', 'Sodium-dependent serotonin transporter']","['P08908', 'P28223', 'P35367', 'P11229', 'P08172', 'P20309', 'P08173', 'P08912', 'P08913', 'P35348', 'P23975', 'P31645']"
6813,Butyrfentanyl,DB09173,621174,310265082,CCCC(=O)N(C1CCN(CCC2=CC=CC=C2)CC1)C1=CC=CC=C1,"['Mu-type opioid receptor', 'Kappa-type opioid receptor', 'Delta-type opioid receptor']","['P35372', 'P41145', 'P41143']"
6814,Dasabuvir,DB09183,56640146,310265091,COC1=C(C=C(C=C1C1=CC2=CC=C(NS(C)(=O)=O)C=C2C=C1)N1C=CC(=O)NC1=O)C(C)(C)C,['Nonstructural protein 5B (NS5B)'],['P87764']
6815,Viloxazine,DB09185,5666,310265093,CCOC1=CC=CC=C1OCC1CNCCO1,"['Sodium-dependent noradrenaline transporter', '5-hydroxytryptamine receptor 2B', '5-hydroxytryptamine receptor 2C', 'Alpha-1B adrenergic receptor', 'Beta-2 adrenergic receptor', 'Histamine H1 receptor', 'Histamine H2 receptor', 'Muscarinic acetylcholine receptor M1', 'Muscarinic acetylcholine receptor M2', 'Muscarinic acetylcholine receptor M3', 'Muscarinic acetylcholine receptor M4', 'Amine oxidase [flavin-containing] A', 'Amine oxidase [flavin-containing] B']","['P23975', 'P41595', 'P28335', 'P35368', 'P07550', 'P35367', 'P25021', 'P11229', 'P08172', 'P20309', 'P08173', 'P21397', 'P27338']"
6816,Nisoxetine,DB09186,4500,310265094,CNCCC(OC1=CC=CC=C1OC)C1=CC=CC=C1,['Sodium-dependent serotonin transporter'],['P31645']
6817,Etoperidone,DB09194,40589,310265102,CCN1C(=O)N(CCCN2CCN(CC2)C2=CC=CC(Cl)=C2)N=C1CC,"['5-hydroxytryptamine receptor 2A', '5-hydroxytryptamine receptor 2C', 'Alpha-1 adrenergic receptors', 'Alpha-2 adrenergic receptors', 'Dopamine D2 receptor', 'Muscarinic acetylcholine receptor']","['P28223', 'P28335', 'P35348', 'P08913', 'P14416', 'P11229']"
6818,Lorpiprazole,DB09195,20055414,310265103,[H][C@@]12CCC[C@]1([H])C1=NN=C(CCN3CCN(CC3)C3=CC=CC(=C3)C(F)(F)F)N1C2,"['5-hydroxytryptamine receptor 2A', '5-hydroxytryptamine receptor 2C', 'Alpha-1 adrenergic receptors', 'Alpha-2 adrenergic receptors', 'Histamine H1 receptor', 'Sodium-dependent serotonin transporter']","['P28223', 'P28335', 'P35348', 'P08913', 'P35367', 'P31645']"
6819,Lobeglitazone,DB09198,9826451,310265106,COC1=CC=C(OC2=NC=NC(=C2)N(C)CCOC2=CC=C(CC3SC(=O)NC3=O)C=C2)C=C1,['Peroxisome proliferator-activated receptor gamma'],['P37231']
6820,Ciglitazone,DB09201,2750,310265109,CC1(COC2=CC=C(CC3SC(=O)NC3=O)C=C2)CCCCC1,['Peroxisome proliferator-activated receptor gamma'],['P37231']
6821,Cirazoline,DB09202,2765,310265110,[H]N1CCN=C1COC1=CC=CC=C1C1CC1,"['Alpha-1A adrenergic receptor', 'Alpha-1B adrenergic receptor', 'Alpha-1D adrenergic receptor', 'Alpha-2 adrenergic receptors']","['P35348', 'P35368', 'P25100', 'P08913']"
6822,Synephrine,DB09203,7172,310265111,CNCC(O)C1=CC=C(O)C=C1,['Alpha-1 adrenergic receptors'],['P35348']
6823,Arotinolol,DB09204,2239,310265112,CC(C)(C)NCC(O)CSC1=NC(=CS1)C1=CC=C(S1)C(N)=O,"['Beta-1 adrenergic receptor', 'Beta-2 adrenergic receptor', 'Alpha-1 adrenergic receptors']","['P08588', 'P07550', 'P35348']"
6824,Moxisylyte,DB09205,4260,310265113,CC(C)C1=C(OCCN(C)C)C=C(C)C(OC(C)=O)=C1,['Alpha adrenergic receptor'],['P35348']
6825,AS-8112,DB09207,10993014,310265115,[H]N(C)C1=C(Br)C=C(C(=O)N([H])[C@@H]2CN(C)CCN(CC)C2)C(OC)=C1,"['Dopamine D2 receptor', 'Dopamine D3 receptor', '5HT3 serotonin receptor']","['P14416', 'P35462', 'Q9UE69']"
6826,Pholcodine,DB09209,5311356,310265116,[H][C@@]12OC3=C(OCCN4CCOCC4)C=CC4=C3[C@@]11CCN(C)[C@]([H])(C4)[C@]1([H])C=C[C@@H]2O,"['Mu-type opioid receptor', 'Kappa-type opioid receptor', 'Delta-type opioid receptor']","['P35372', 'P41145', 'P41143']"
6827,Limaprost,DB09211,6438378,310265118,CCCC[C@H](C)C[C@H](O)\C=C\[C@H]1[C@H](O)CC(=O)[C@@H]1CCCC\C=C\C(O)=O,"['Prostaglandin E2 receptor EP2 subtype', 'Prostaglandin E2 receptor EP1 subtype', 'Prostaglandin E2 receptor EP3 subtype', 'Prostaglandin E2 receptor EP4 subtype']","['P43116', 'P34995', 'P43115', 'P35408']"
6828,Loxoprofen,DB09212,3965,310265119,CC(C(O)=O)C1=CC=C(CC2CCCC2=O)C=C1,"['Prostaglandin G/H synthase 2', 'Prostaglandin G/H synthase 1']","['P35354', 'P23219']"
6829,Dexibuprofen,DB09213,39912,310265120,CC(C)CC1=CC=C(C=C1)[C@H](C)C(O)=O,"['Prostaglandin G/H synthase 2', 'Prostaglandin G/H synthase 1', 'Apoptosis regulator Bcl-2', 'Thrombomodulin', 'Tissue-type plasminogen activator', 'Fatty acid-binding protein, intestinal', 'Peroxisome proliferator-activated receptor gamma', 'Cystic fibrosis transmembrane conductance regulator', 'Solute carrier family 15 member 1', 'Peroxisome proliferator-activated receptor alpha', 'Platelet glycoprotein Ib alpha chain', 'Protein S100-A7']","['P35354', 'P23219', 'P10415', 'P07204', 'P00750', 'P12104', 'P37231', 'P13569', 'P46059', 'Q07869', 'P07359', 'P31151']"
6830,Dexketoprofen,DB09214,667550,310265121,[H][C@@](C)(C(O)=O)C1=CC(=CC=C1)C(=O)C1=CC=CC=C1,"['Prostaglandin G/H synthase 1', 'Prostaglandin G/H synthase 2']","['P23219', 'P35354']"
6831,Droxicam,DB09215,65679,310265122,CN1C2=C(OC(=O)N(C2=O)C2=CC=CC=N2)C2=CC=CC=C2S1(=O)=O,"['Prostaglandin G/H synthase 1', 'Prostaglandin G/H synthase 2']","['P23219', 'P35354']"
6832,Tolfenamic acid,DB09216,610479,310265123,CC1=C(Cl)C=CC=C1NC1=CC=CC=C1C(O)=O,"['Prostaglandin G/H synthase 1', 'Prostaglandin G/H synthase 2']","['P23219', 'P35354']"
6833,Firocoxib,DB09217,208910,310265124,CC1(C)OC(=O)C(OCC2CC2)=C1C1=CC=C(C=C1)S(C)(=O)=O,['Prostaglandin G/H synthase 2'],['P35354']
6834,Nicorandil,DB09220,47528,310265127,[O-][N+](=O)OCCNC(=O)C1=CC=CN=C1,['ATP-binding cassette sub-family C member 9'],['O60706']
