Drug,Cell
WEHI-539,SCC90
SB590885,SU-DHL-1
ZM447439,NB1
Tamoxifen,NCI-H727
Vismodegib,L-428
Dihydrorotenone,Hs-445
UNC0638,MFM-223
Epirubicin,OV-90
UMI-77,MDST8
PRT062607,OV-7
SCH772984,NCI-H2029
Pyridostatin,JHU-022
Olaparib,Mo-T
AMG-319,HCC2998
Fludarabine,HSC-4
Entospletinib,LB2518-MEL
BEN,VAL
Schweinfurthin A,KYAE-1
SB590885,NCI-H2347
AZD3759,NCI-H2135
AT13148,SUP-B8
Schweinfurthin A,NCI-H2135
Axitinib,CAL-85-1
Pevonedistat,YAPC
Uprosertib_1553,KNS-81-FD
Wee1 Inhibitor,UACC-257
Talazoparib,TGBC24TKB
PD0325901,DMS-114
LGK974,NCI-H2066
Wnt-C59,KY821
Pyridostatin,HO-1-u-1
PFI-1,CP66-MEL
PLX-4720,COLO-320-HSR
Pyridostatin,DND-41
AZD5991,HA7-RCC
MN-64,KYAE-1
SB590885,NCI-H2135
ZM447439,SIMA
N-acetyl cysteine,AN3-CA
BMS-345541,DBTRG-05MG
BI-2536,KGN
WIKI4,IA-LM
AZD6738,LC-1-sq
Sinularin,MN-60
LJI308,LS-411N
Tamoxifen,MDA-MB-231
AGI-5198,JVM-3
UNC0379,KP-3
Ulixertinib_1908,TE-441-T
Entinostat,STS-0421
Dabrafenib,U251
Irinotecan,LS-411N
AZD5991,KYSE-450
AGI-5198,KY821
Afatinib,KNS-81-FD
I-BET-762,HA7-RCC
I-BET-762,NCI-H716
Cediranib,NCI-H2009
PD0325901,NB1
PFI-1,SUIT-2
AZD2014,BHT-101
SB216763,SU8686
AZD3759,MOLP-8
Nilotinib,SCC90
AZD3759,OVCA420
GSK591,A2058
PRT062607,DBTRG-05MG
Lapatinib,MIA-PaCa-2
Axitinib,SK-N-DZ
Tamoxifen,ESO51
Uprosertib_1553,JM1
Dabrafenib,KMS-11
Axitinib,AM-38
Lapatinib,RT4
Dihydrorotenone,IGR-37
Sinularin,HCC2998
Entospletinib,RPMI-8866
UMI-77,SW620
Gemcitabine,NCI-H2347
ML323,HCC2218
LCL161,SK-MEL-2
Selumetinib_1736,HGC-27
BMS-345541,VCaP
AZD8055,ASH-3
WIKI4,PSN1
Bromosporine,KYSE-410
CZC24832,PANC-08-13
Nelarabine,SCC-4
Entinostat,BFTC-905
Irinotecan,ES-2
Docetaxel_1007,SNU-449
Vismodegib,ME-1
AT13148,KNS-81-FD
Selumetinib_1736,DoTc2-4510
N-acetyl cysteine,PANC-10-05
Afatinib,CGTH-W-1
Fludarabine,NCI-H1869
GSK2578215A,NOS-1
PFI-1,MDA-MB-415
Cytarabine,SK-N-FI
Entospletinib,HOS
Nelarabine,KMOE-2
GSK1904529A,HCC1395
Talazoparib,SK-MEL-28
Niraparib,OCI-AML5
I-BET-762,COR-L32
Wee1 Inhibitor,U-698-M
GSK-LSD1,C3A
AMG-319,COLO-684
AZD3759,RH-41
I-BET-762,MDA-MB-231
Wee1 Inhibitor,TE-6
Cyclophosphamide,A673
Epirubicin,SW962
5-azacytidine,KYSE-50
Selumetinib_1062,TOV-112D
LJI308,CRO-AP2
AZD8055,EN
NVP-ADW742,HSC-39
Pevonedistat,TE-4
SB505124,MOLM-16
NVP-ADW742,TC-YIK
AT13148,U-2-OS
MK-8776,A375
MN-64,HCC-366
Nelarabine,SW1088
Entinostat,TE-12
WIKI4,A549
AZD5363,SU-DHL-1
PLX-4720,NCI-H510A
PFI-1,TGBC24TKB
AZD5363,SW1990
Sinularin,KP-4
PAK_5339,A172
Olaparib,NCI-H2023
AT13148,CAL-33
Sinularin,SU8686
CZC24832,U-266
Cisplatin,TGW
Schweinfurthin A,D-263MG
Nilotinib,KNS-81-FD
SN-38,OE21
N-acetyl cysteine,CGTH-W-1
Nilotinib,NCC021
AZD1208,TGBC24TKB
AMG-319,CGTH-W-1
GSK1904529A,NCI-H1781
Bromosporine,UMC-11
Tamoxifen,AMO-1
Afatinib,Calu-6
Selumetinib_1062,OVCAR-5
AZD8055,RMG-I
BEN,OE33
Gallibiscoquinazole,KYSE-50
MN-64,NCI-H1666
Tamoxifen,MDA-MB-468
SCH772984,HCC1395
AZD5991,HOS
Vinorelbine,YAPC
Pyridostatin,NALM-6
UNC0379,SU8686
MN-64,ESO51
PAK_5339,ZR-75-30
Afatinib,LN-405
WEHI-539,RKO
AT13148,NCI-H647
GW441756,MN-60
SB590885,SK-CO-1
NVP-ADW742,L-428
LJI308,TK10
ABT737,UMC-11
PD0325901,ARH-77
Dabrafenib,JHH-1
Bromosporine,NCI-H322M
Buparlisib,SW1088
LCL161,RPMI-8866
Olaparib,NOS-1
GW441756,KON
AZD8055,PANC-08-13
BMS-345541,SKM-1
Telomerase Inhibitor IX,Ramos-2G6-4C10
Axitinib,NCI-H748
XAV939,TE-441-T
AT13148,A101D
SCH772984,STS-0421
N-acetyl cysteine,A3-KAW
Telomerase Inhibitor IX,PCI-30
BMS-536924,CAL-85-1
Olaparib,NMC-G1
OTX015,KNS-81-FD
Cyclophosphamide,EW-22
LGK974,NB10
Bromosporine,EW-22
AZD3759,SK-N-DZ
Lapatinib,COR-L311
ZM447439,PL4
Gallibiscoquinazole,CHSA8926
BMS-536924,COLO-684
Fludarabine,U-266
SB216763,LN-405
PLX-4720,SK-LU-1
Entospletinib,Hs-445
SB216763,SK-LMS-1
GSK1904529A,NCI-H720
SB590885,SW1990
Tretinoin,KYSE-510
Gallibiscoquinazole,SW1710
ML323,JURL-MK1
GSK-LSD1,MFM-223
Tanespimycin,SK-MM-2
KU-55933,JiyoyeP-2003
VE821,NCI-H2030
AZD2014,EN
GSK591,ES7
WIKI4,CAL-72
AZD3759,RPMI-8226
Wnt-C59,RPMI-8866
ABT737,LB647-SCLC
Irinotecan,NMC-G1
GSK2578215A,NCI-H1944
AZD1208,NCI-H2052
ZM447439,SW620
PFI-1,Farage
IAP_5620,EW-11
I-BET-762,ESO51
Lapatinib,NB5
alpha-lipoic acid,MDA-MB-468
XAV939,D-263MG
PRT062607,HT-3
KU-55933,ZR-75-30
GSK-LSD1,SU-DHL-5
Pyridostatin,JURL-MK1
LCL161,WM278
Pyridostatin,NCI-H211
N-acetyl cysteine,Detroit562
PRT062607,L-363
SB216763,CHSA8926
Bromosporine,IA-LM
AT13148,KGN
AZD5363,NCI-H2023
MK-8776,COR-L279
AZD5991,TOV-112D
Lapatinib,NALM-6
Vismodegib,NCI-H2023
SB590885,DMS-114
UMI-77,SW1710
SN-38,KYAE-1
SCH772984,HDLM-2
AZD1208,ES-2
GSK591,ES1
JQ1,KNS-81-FD
Gallibiscoquinazole,ONS-76
NVP-ADW742,U-118-MG
Trametinib,YH-13
VE821,KYAE-1
AZD5991,KYSE-220
MN-64,GP5d
Tretinoin,TE-10
Rapamycin,SW1710
KU-55933,KP-4
Tamoxifen,KMRC-20
AZD7762,U251
GW441756,C3A
GSK1904529A,A172
BMS-345541,SK-MEL-5
UNC0638,COR-L88
Tamoxifen,DOHH-2
AT13148,NCI-H211
MIRA-1,SU-DHL-1
Pyridostatin,LU-65
WIKI4,CGTH-W-1
Dabrafenib,RERF-LC-Sq1
BMS-536924,VA-ES-BJ
Pevonedistat,D-263MG
Lapatinib,NCI-H1793
XAV939,PE-CA-PJ15
Buparlisib,NCI-H647
Bleomycin,U-2-OS
Fludarabine,SCC-15
AGI-5198,BT-483
Cytarabine,SK-N-AS
Schweinfurthin A,PANC-10-05
PF-4708671,MDA-MB-231
IAP_5620,ASH-3
GSK591,NCI-H322M
Mycophenolic acid,NB12
MIRA-1,PANC-04-03
LCL161,FTC-133
LGK974,KU812
GSK-LSD1,KYSE-450
GSK1904529A,MDA-MB-468
AZD2014,SK-LU-1
Wnt-C59,NB13
BMS-345541,JURL-MK1
Olaparib,MOLM-16
Remodelin,RERF-LC-Sq1
Nilotinib,NCI-H2066
Cyclophosphamide,Farage
Uprosertib_1553,RCC-FG2
SCH772984,CRO-AP2
Wee1 Inhibitor,BHY
AZD1208,SK-MEL-5
I-BET-762,MFE-280
MIRA-1,UMC-11
Sorafenib,HPAC
GSK-LSD1,A101D
Irinotecan,CCK-81
Entinostat,U031
Gallibiscoquinazole,HA7-RCC
LCL161,NCI-H510A
KU-55933,NCI-H716
Uprosertib_2106,SW1710
CZC24832,SF126
ZM447439,HCC1419
AZD5991,SK-LU-1
Niraparib,COLO-668
BMS-345541,MKN1
Cyclophosphamide,RKO
MN-64,CAL-72
MIRA-1,SW1990
MK-8776,HOS
GSK2578215A,U031
Pyridostatin,ES1
PLX-4720,HCC2998
Sorafenib,LN-405
VE821,OVISE
alpha-lipoic acid,SISO
IAP_5620,DK-MG
Irinotecan,NCI-H835
AT13148,SK-N-SH
MN-64,HPAC
Wee1 Inhibitor,AM-38
Tanespimycin,KYSE-220
Dihydrorotenone,769-P
KU-55933,LB373-MEL-D
AZD5991,CL-11
Tamoxifen,Ramos-2G6-4C10
Afatinib,DoTc2-4510
PFI-1,TE-4
VE821,HA7-RCC
Uprosertib_2106,UMC-11
GSK1904529A,NCC021
UNC0638,HCC1428
AZD8055,YAPC
CCT-018159,U031
Wnt-C59,D-566MG
WEHI-539,SKM-1
GSK-LSD1,TGW
Entinostat,NCI-H1781
AZD3759,CP66-MEL
Ulixertinib_1908,Calu-6
5-azacytidine,KGN
Irinotecan,SK-LU-1
Sorafenib,LS-411N
Dactolisib,KYSE-50
SN-38,RCC-JW
GSK2578215A,ES8
NVP-ADW742,JM1
I-BET-762,NCI-H2029
AZD3759,MFH-ino
AZD7762,C3A
GW441756,KU812
Gallibiscoquinazole,ES8
Tanespimycin,U-266
GSK1904529A,NB1
Bromosporine,ALL-PO
Wee1 Inhibitor,SW1710
AZD3759,CHP-212
AZD3759,MDST8
KU-55933,Hs-633T
GSK-LSD1,SW620
Sinularin,DU-145
Cediranib,TE-4
BEN,U-118-MG
Niraparib,SU8686
Ulixertinib_1908,MN-60
NVP-ADW742,SF268
Niraparib,IA-LM
Cisplatin,KARPAS-45
LJI308,NU-DUL-1
I-BET-762,OV-7
Buparlisib,FU97
Ulixertinib_1908,TGBC24TKB
AZD5363,NB5
AZD5363,KYSE-410
BMS-345541,HCC1428
BMS-345541,NB5
Cediranib,TE-6
Niraparib,DB
Pevonedistat,UACC-893
PD0325901,ES1
PD0325901,FU97
Uprosertib_1553,HOS
AMG-319,DAN-G
VE821,SCC90
Wnt-C59,DBTRG-05MG
OTX015,EMC-BAC-2
BMS-536924,TC-YIK
Entinostat,NCI-N87
Olaparib,GDM-1
OTX015,HCC1428
ABT737,KMRC-1
PAK_5339,U-2-OS
GSK2578215A,COR-L88
Tamoxifen,AU565
MN-64,Ramos-2G6-4C10
Dabrafenib,EW-11
Sorafenib,YAPC
Lapatinib,MDA-MB-361
Niraparib,EW-18
Afatinib,KMOE-2
Lapatinib,NCI-H2141
UNC0638,GI-1
Ulixertinib_1908,NCI-H2066
WEHI-539,TOV-112D
Olaparib,HCC2218
IAP_5620,HSC-4
Sorafenib,NCI-H2141
Ulixertinib_1908,KP-4
Epirubicin,SCC-15
Entospletinib,MEL-HO
ABT737,GAMG
PD0325901,U-2-OS
ZM447439,RCC-FG2
PFI-1,ES4
Afatinib,ESO51
IAP_5620,IA-LM
AT13148,HCC1395
BMS-536924,FU97
Lapatinib,SK-N-AS
WIKI4,LC-1-sq
ZM447439,NMC-G1
AZD1208,SUIT-2
BI-2536,SK-MES-1
UNC0379,RH-41
SB590885,SK-MEL-3
Talazoparib,Ca-Ski
Ulixertinib_1908,L-428
MN-64,L-363
ZM447439,OACp4C
Lapatinib,LB996-RCC
Pevonedistat,MZ7-mel
GW441756,OVCAR-5
Dabrafenib,SCC90
Cytarabine,KMOE-2
Schweinfurthin A,Calu-6
Sorafenib,A253
UMI-77,D-283MED
WIKI4,ES7
Tretinoin,KMS-11
Pevonedistat,PC-3_[JPC-3]
Mycophenolic acid,EW-1
SB590885,SK-N-DZ
GSK1904529A,TGBC24TKB
Fludarabine,HuH-7
VE821,OE21
Fludarabine,CHP-212
MN-64,SAS
Nelarabine,SISO
AZD6738,SK-MEL-2
Wnt-C59,EW-1
Lapatinib,NCI-H1869
UMI-77,IHH-4
Dihydrorotenone,CHP-134
Nilotinib,ES-2
MIRA-1,NCI-H82
XAV939,OCI-M1
Nilotinib,KNS-42
UMI-77,ASH-3
BMS-345541,COLO-684
VE821,KYSE-50
5-azacytidine,BV-173
N-acetyl cysteine,LS-513
SB590885,A549
alpha-lipoic acid,JHU-022
AT13148,JIMT-1
Ulixertinib_1908,NCI-H835
Wnt-C59,HDLM-2
Cyclophosphamide,HO-1-u-1
Bromosporine,Calu-6
Trametinib,VCaP
Niraparib,YH-13
Pyridostatin,PSN1
ABT737,HGC-27
Uprosertib_2106,HT-3
Selumetinib_1736,YH-13
PFI-1,KP-3
Lapatinib,NCI-H211
GSK-LSD1,SK-MEL-2
I-BET-762,RH-1
PFI-1,NCI-H2444
ABT737,SW1088
SB590885,NCI-H727
Tamoxifen,KELLY
GSK591,MDA-MB-361
GSK269962A,SW156
LJI308,HCT-116
XAV939,LN-405
Uprosertib_2106,NCI-H1993
SB590885,SAS
BEN,KMOE-2
Selumetinib_1736,OCI-AML5
AZD2014,HT-3
ML323,5637
Nelarabine,KYSE-510
KU-55933,RPMI-8402
LCL161,KARPAS-45
SB590885,NCI-H2228
Vismodegib,KP-3
Nilotinib,MOLT-16
AZD8055,IMR-5
Uprosertib_2106,EW-11
AZD3759,SW620
MK-8776,PANC-04-03
Dabrafenib,COR-L279
ML323,L-363
ABT737,5637
ML323,HCC1428
GSK591,NCC021
PD0325901,SF295
Telomerase Inhibitor IX,HDLM-2
Rapamycin,PANC-03-27
PD0325901,TK10
Olaparib,Jurkat
Lapatinib,MZ7-mel
Sinularin,MOLT-4
SCH772984,KP-3
LGK974,Farage
Niraparib,SF126
GW441756,SK-N-SH
Buparlisib,NMC-G1
JQ1,SCC-4
PRT062607,COR-L321
5-azacytidine,KYSE-410
SB590885,NCI-H2444
Sorafenib,ES8
KU-55933,RCH-ACV
KU-55933,SK-GT-4
LCL161,G-361
Mycophenolic acid,PC-3_[JPC-3]
AZD5363,5637
VE821,NCI-H1944
Wnt-C59,IST-SL2
OTX015,EC-GI-10
GSK2578215A,HCC1428
SN-38,COLO-320-HSR
N-acetyl cysteine,GAK
BI-2536,MFE-280
ML323,SISO
SB216763,AU565
GSK-LSD1,GAK
LGK974,DMS-114
AZD2014,HCC1937
AZD1208,HLE
5-azacytidine,SK-MG-1
SB590885,NCI-H2029
Wnt-C59,HC-1
NVP-ADW742,MZ7-mel
GSK591,EC-GI-10
KU-55933,TE-10
XAV939,EFO-21
AT13148,SCC-15
Tretinoin,NCI-H1105
Tanespimycin,EFO-21
PAK_5339,DU-145
Talazoparib,Hs-633T
Bromosporine,DOHH-2
MK-8776,AU565
AZD5363,KYSE-50
Cyclophosphamide,SK-MEL-1
GSK591,SK-CO-1
IAP_5620,BPH-1
ZM447439,SNU-449
AZD1208,COLO-824
Gemcitabine,TT
AT13148,UMC-11
alpha-lipoic acid,OCI-AML5
ML323,TE-10
AZD7762,ML-1
I-BET-762,5637
PD0325901,SiHa
AZD6738,OV-7
Nilotinib,MDA-MB-468
Nelarabine,RH-1
GSK2578215A,PCI-4B
Entospletinib,OVCA420
MK-8776,TGW
Bromosporine,SISO
PAK_5339,NB13
AZD3759,TE-6
Selumetinib_1736,TOV-112D
AGI-5198,KP-N-YN
Gallibiscoquinazole,NCI-H82
Mycophenolic acid,HCC1428
KU-55933,HDQ-P1
AGI-5198,NCI-H2228
Selumetinib_1062,AU565
AZD6738,AMO-1
ZM447439,SK-N-FI
AZD3759,DoTc2-4510
LGK974,TGBC24TKB
ABT737,CRO-AP2
Axitinib,MFM-223
Telomerase Inhibitor IX,SW156
WIKI4,NCI-H2066
PF-4708671,HDQ-P1
Tanespimycin,EW-18
Gemcitabine,HCC2157
Buparlisib,RCC-JF
GSK1904529A,EW-18
BMS-345541,NCI-H2135
Dabrafenib,AM-38
ML323,DAN-G
N-acetyl cysteine,SKG-IIIa
MIRA-1,SNU-175
AZD6738,MSTO-211H
AZD6738,KYSE-510
Remodelin,UACC-257
Wee1 Inhibitor,RCC-JW
AZD1208,A3-KAW
SB216763,NB10
ML323,C3A
N-acetyl cysteine,L-363
PRT062607,KYSE-520
Dabrafenib,LAN-6
SN-38,BT-483
Tamoxifen,KALS-1
GSK2578215A,NOMO-1
AZD2014,DAN-G
AZD1208,MDST8
Niraparib,HCC1569
Vismodegib,KYSE-50
KU-55933,LAN-6
Cytarabine,KYSE-450
Olaparib,LC4-1
BMS-536924,JIMT-1
5-azacytidine,NCI-H69
AZD6738,MN-60
alpha-lipoic acid,IA-LM
ABT737,CPC-N
Uprosertib_2106,COR-L88
Ulixertinib_1908,OE21
PRT062607,SF295
ML323,CCK-81
WIKI4,HLE
Remodelin,HDQ-P1
PFI-1,769-P
Uprosertib_2106,KARPAS-45
Gallibiscoquinazole,NCI-H1944
PAK_5339,OPM-2
Nilotinib,CRO-AP2
NVP-ADW742,MKN1
Schweinfurthin A,Ca-Ski
CZC24832,MKN1
Wnt-C59,PCI-15A
Bleomycin (50 uM),LU-65
UNC0379,NCI-H835
Bleomycin (50 uM),HPAC
BMS-536924,DK-MG
AZD5363,no-11
KU-55933,NCI-H2023
Niraparib,TC-YIK
Uprosertib_1553,EC-GI-10
BMS-345541,HCC2218
UNC0638,EW-18
Pyridostatin,EFO-21
WIKI4,NB5
Entinostat,LS-513
Lapatinib,DK-MG
Entospletinib,CL-11
Axitinib,U-87-MG
Wnt-C59,COR-L311
MN-64,SK-LMS-1
Irinotecan,KYSE-50
Selumetinib_1736,BV-173
I-BET-762,GAK
Sorafenib,SK-GT-4
Epirubicin,SCC90
ZM447439,RCC-JF
Schweinfurthin A,COLO-205
IAP_5620,LC-1-sq
ZM447439,SW1710
Bleomycin (50 uM),ARH-77
AZD1208,PWR-1E
GSK2578215A,SK-MEL-28
Buparlisib,DoTc2-4510
PFI-1,HT-144
ABT737,U-266
Olaparib,D-423MG
Dactolisib,SU8686
ABT737,SK-N-AS
Afatinib,ES-2
ML323,EW-11
Pyridostatin,C3A
XAV939,SK-MEL-28
Cyclophosphamide,JIMT-1
Wnt-C59,HAL-01
Gallibiscoquinazole,NCI-H322M
WIKI4,Mo-T
WEHI-539,EFO-21
Entospletinib,EW-1
Lapatinib,HCT-116
N-acetyl cysteine,MFM-223
AZD7762,TE-441-T
AMG-319,SU-DHL-5
Mycophenolic acid,KMRC-1
GSK2578215A,ES-2
MIRA-1,COR-L88
Wnt-C59,GAMG
Wnt-C59,ALL-PO
AZD1208,U-87-MG
GSK1904529A,NCI-H2196
Pyridostatin,CRO-AP2
WEHI-539,HARA
Entinostat,GAMG
Pyridostatin,GAK
PD0325901,OE33
Nilotinib,OVCAR-5
AGI-5198,SKG-IIIa
Uprosertib_1553,LS-411N
Bromosporine,BFTC-905
UNC0379,SU-DHL-5
Cediranib,KY821
SCH772984,ES1
PRT062607,JiyoyeP-2003
MK-8776,MFE-280
JQ1,NCI-H2030
JQ1,LN-405
SB216763,TGBC24TKB
Irinotecan,HT-3
UMI-77,Mo-T
MIRA-1,IGR-37
Schweinfurthin A,Ramos-2G6-4C10
ML323,KYSE-50
OTX015,VA-ES-BJ
Nilotinib,KYSE-50
SCH772984,EN
AZD6482,SF295
ML323,MDST8
BMS-536924,OCI-LY-19
Cyclophosphamide,COR-L321
LJI308,RPMI-8226
GW441756,CS1
PFI-1,JiyoyeP-2003
Lapatinib,IA-LM
VE821,TGBC24TKB
Olaparib,TE-6
NU7441,PANC-08-13
AMG-319,U-118-MG
BEN,RERF-LC-Sq1
SB216763,HCC2157
N-acetyl cysteine,HCC1428
Tamoxifen,HCT-116
Selumetinib_1062,KYSE-450
Ulixertinib_1908,NOMO-1
BEN,A375
Olaparib,NCI-H1915
Entinostat,CHP-212
Nilotinib,SW1417
LJI308,NCI-H1781
AMG-319,TE-441-T
MN-64,RCC-FG2
Bleomycin,RPMI-8226
BEN,G-361
Olaparib,BT-483
PFI-1,TGBC11TKB
Tanespimycin,COLO-320-HSR
AT13148,HCC1419
NVP-ADW742,Mo-T
AZD7762,no-11
BMS-345541,NCI-H1869
N-acetyl cysteine,TUR
Cisplatin,KYSE-50
Gemcitabine,BT-483
IAP_5620,COLO-320-HSR
5-azacytidine,JVM-3
Uprosertib_1553,Detroit562
WEHI-539,EW-1
Selumetinib_1736,D-263MG
JQ1,AN3-CA
PD0325901,KYSE-520
WIKI4,EC-GI-10
AZD8055,MOLT-4
Niraparib,SK-LU-1
MK-8776,BL-41
MIRA-1,NCI-H2052
Bleomycin,KY821
GSK2578215A,RCC-FG2
AT13148,NB12
PD0325901,RH-1
Entospletinib,SK-MEL-28
Epirubicin,PANC-03-27
Gallibiscoquinazole,NOS-1
ZM447439,AU565
GSK-LSD1,TE-8
GSK591,DK-MG
AZD3759,HDLM-2
Vismodegib,Detroit562
Pevonedistat,SNB75
Tanespimycin,MKN1
AZD5363,MDST8
AZD3759,EVSA-T
Ulixertinib_1908,LB2518-MEL
GSK2578215A,OCI-LY-19
Sinularin,BHT-101
WEHI-539,769-P
Buparlisib,HuH-7
Dabrafenib,MHH-PREB-1
PD0325901,ES4
Cyclophosphamide,SK-N-AS
Lapatinib,HT-144
Talazoparib,KYSE-520
Epirubicin,SK-MM-2
JQ1,HDLM-2
AZD5363,SKG-IIIa
PAK_5339,U-118-MG
PAK_5339,IMR-5
Tanespimycin,NCI-H2029
ABT737,KALS-1
Lapatinib,KYSE-510
GSK1904529A,DoTc2-4510
LCL161,MFM-223
ML323,SW982
WIKI4,NCI-H748
SB216763,SUP-B8
Gemcitabine,KP-3
GSK1904529A,CHSA8926
Tamoxifen,U-698-M
Axitinib,NCI-H2023
NU7441,TGBC24TKB
BEN,TE-12
Vismodegib,HCC-366
Buparlisib,HCT-116
Nilotinib,KALS-1
Bleomycin,SK-GT-4
AMG-319,SF295
Afatinib,RPMI-8226
ABT737,HT-144
Irinotecan,PC-3_[JPC-3]
Tamoxifen,D-423MG
VE821,NCI-N87
LGK974,A673
Uprosertib_2106,NOMO-1
PRT062607,TE-4
Irinotecan,EW-16
ML323,LB2518-MEL
SB505124,SNU-175
BMS-345541,NCI-H2141
Mycophenolic acid,GAMG
GW441756,HT-3
Dabrafenib,ARH-77
Tamoxifen,KYAE-1
ML323,SiHa
Sinularin,HCC1937
UNC0379,NALM-6
SB216763,COLO-684
5-azacytidine,KYSE-220
PFI-1,A388
Nilotinib,BL-41
I-BET-762,RCC-JW
Entinostat,NOMO-1
Olaparib,DAN-G
LJI308,DMS-79
ABT737,SU-DHL-10
Schweinfurthin A,UACC-257
SB590885,PEO1
5-azacytidine,NCI-H1869
Ulixertinib_1908,EC-GI-10
GSK2578215A,TE-441-T
Telomerase Inhibitor IX,HSC-4
AZD5363,PA-TU-8902
PFI-1,BPH-1
Talazoparib,MOLP-8
Entospletinib,JHU-022
Selumetinib_1736,GDM-1
NU7441,RERF-LC-Sq1
Talazoparib,BT-483
Telomerase Inhibitor IX,G-361
Irinotecan,OVISE
MIRA-1,COLO-824
Mycophenolic acid,SK-GT-4
AZD6482,SNB75
LJI308,G-361
PLX-4720,SU-DHL-10
Trametinib,NCI-H2066
AT13148,NCI-H1793
KU-55933,EFO-21
GSK2578215A,L-428
AGI-5198,KYAE-1
CCT-018159,A375
Irinotecan,NB10
BMS-345541,EW-1
Niraparib,NCI-H2029
Schweinfurthin A,DMS-53
SCH772984,HCC1569
Nilotinib,EW-18
Ulixertinib_1908,COLO-684
SCH772984,SBC-5
Wee1 Inhibitor,BT-483
Entospletinib,UACC-893
UMI-77,KP-4
Nilotinib,SKG-IIIa
Pyridostatin,ES-2
Tretinoin,PE-CA-PJ15
Sorafenib,LAN-6
Niraparib,A673
AT13148,NCI-H1944
Cyclophosphamide,SAT
Trametinib,RCH-ACV
AZD5991,OE33
NU7441,SK-MEL-5
Vinorelbine,NCI-H2228
Selumetinib_1736,Mo-T
Buparlisib,SW626
Uprosertib_1553,GI-1
BEN,SW1417
Topotecan,SW626
AGI-5198,SK-MG-1
Ulixertinib_1908,SUP-B8
LGK974,SW982
Docetaxel_1819,ZR-75-30
PFI-1,RKO
AMG-319,U-266
Cisplatin,U-698-M
NU7441,SKM-1
AT13148,NCI-H2347
Selumetinib_1736,RERF-LC-Sq1
Uprosertib_2106,CHP-212
AZD1208,GOTO
Entinostat,OACp4C
WIKI4,A101D
I-BET-762,SAT
Cisplatin,OCUB-M
Afatinib,DU-145
Olaparib,NOMO-1
5-azacytidine,LU-65
5-azacytidine,CL-11
PFI-1,NOS-1
ABT737,NCI-N87
GW441756,LB373-MEL-D
Telomerase Inhibitor IX,NCI-H322M
Sorafenib,TGBC24TKB
XAV939,ES-2
KU-55933,SW962
5-azacytidine,PEO1
SCH772984,D-566MG
Dabrafenib,HPAC
GSK2578215A,AN3-CA
Sorafenib,IGR-37
Entospletinib,SNU-449
NU7441,GAK
LJI308,EFO-21
Entinostat,COLO-320-HSR
WEHI-539,DoTc2-4510
MN-64,LB2518-MEL
Nelarabine,KS-1
Tanespimycin,NOMO-1
I-BET-762,DMS-53
Telomerase Inhibitor IX,MFM-223
GSK591,NCI-H1993
UNC0638,SU-DHL-10
Niraparib,OCI-M1
IAP_5620,CCK-81
SB216763,SNB75
SB505124,NB5
SB505124,KYSE-510
AZD5991,IA-LM
BI-2536,UM-UC-3
Nilotinib,SUIT-2
LGK974,DoTc2-4510
Sinularin,OVCAR-5
Gallibiscoquinazole,CAL-33
ABT737,KNS-42
PFI-1,MDA-MB-231
OTX015,SW156
VE821,DK-MG
SCH772984,JiyoyeP-2003
Entospletinib,MOLT-16
5-azacytidine,LS-411N
Nilotinib,ES4
N-acetyl cysteine,SK-MEL-1
WEHI-539,ONS-76
WIKI4,U-2-OS
Afatinib,HGC-27
AZD2014,ES7
AMG-319,MOLT-4
N-acetyl cysteine,TOV-112D
AT13148,MKN1
AMG-319,NCI-H322M
Selumetinib_1062,PC-3_[JPC-3]
LGK974,SK-MEL-30
Telomerase Inhibitor IX,KYSE-520
Buparlisib,OVCAR-5
WIKI4,GI-1
Entospletinib,U-2-OS
Schweinfurthin A,U-2-OS
GSK-LSD1,MFE-280
Nelarabine,RPMI-8866
UNC0379,NOMO-1
Nelarabine,SCC90
PAK_5339,Mo-T
Pyridostatin,MS-1
CZC24832,COR-L321
Gemcitabine,KNS-81-FD
Camptothecin,TE-6
Gemcitabine,SK-MEL-5
Uprosertib_2106,TT
Nelarabine,ONS-76
Niraparib,NCI-H1666
PFI-1,SNU-449
Ulixertinib_1908,RCC-MF
BMS-345541,SK-MES-1
JQ1,MFE-280
SCH772984,IST-SL2
AZD6482,TE-10
UNC0638,Calu-6
SB216763,BHT-101
AT13148,SBC-5
SCH772984,EW-1
I-BET-762,U-87-MG
LJI308,UMC-11
CZC24832,KYSE-220
WEHI-539,D-423MG
KU-55933,COR-L279
AZD3759,IMR-5
SCH772984,SK-LMS-1
Tretinoin,DMS-79
MN-64,DMS-53
alpha-lipoic acid,GI-1
Cediranib,A388
Uprosertib_2106,U-2-OS
MIRA-1,A3-KAW
BI-2536,PANC-04-03
GSK2578215A,GDM-1
UNC0638,NCI-H1915
5-azacytidine,ME-180
ML323,OVCA420
Olaparib,NCI-H1105
Entospletinib,LS-411N
WEHI-539,NCI-H716
BMS-536924,JVM-3
Mycophenolic acid,CAL-33
LJI308,CS1
Telomerase Inhibitor IX,JIMT-1
Entinostat,MEL-HO
Schweinfurthin A,NCI-H2023
BMS-536924,CAL-33
CZC24832,SW1710
alpha-lipoic acid,GP5d
GW441756,BV-173
AZD3759,HSC-39
LGK974,YAPC
