+------+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-------------+-------------+-------------+
| Rank |                                                                                                                                                     Drug Name                                                                                                                                                      | Target Name | Interaction | Probability |
| 3891 |                                                                                                                                              Zorubicin hydrochloride                                                                                                                                               |    VEGFC    |      NO     |     0.00    |
| 3892 |                                                                                                                                    10-Hydroxy-7-trimethylsilylethylcamptothecin                                                                                                                                    |    RAI14    |      NO     |     0.00    |
| 3893 |                                        [(5Z,8E,13E)-25-acetyloxy-1,11,21-trihydroxy-17-(1-hydroxyethyl)-5,13-bis(2-methoxy-2-oxoethylidene)-10,10,26,26-tetramethyl-19-oxo-18,27,28,29-tetraoxatetracyclo[21.3.1.13,7.111,15]nonacos-8-en-12-yl] (2E,4E)-octa-2,4-dienoate                                         |    PRKAG2   |      NO     |     0.00    |
| 3894 |                                                                                                                                                     Tandutinib                                                                                                                                                     |    PSMB8    |      NO     |     0.00    |
| 3895 |                                                                                                                                                 PCI-32765 Racemate                                                                                                                                                 |     ETS1    |      NO     |     0.00    |
| 3896 |                                                                                                                                                    Savolitinib                                                                                                                                                     |     RPL3    |      NO     |     0.00    |
| 3897 |                                                                                                                                              Mitomycin C, K-35 deriv.                                                                                                                                              |     MIF     |      NO     |     0.00    |
| 3898 |                                                                                                                                                     Amuvatinib                                                                                                                                                     |     PLK1    |      NO     |     0.00    |
| 3899 |                                                  Octanoic acid,3aR,4S,6S,6aR,7S,8S,9bS)-6-(acetyloxy)-2,3,3a,4,5,6,6a,7,8,9b-decahydro-3,3a-dihydroxy-3,6,9-trimethyl-8-[[(2Z)-2-methyl-1-oxo-2-butenyl]oxy]-2-oxo-4-(1-oxobutoxy)azuleno[4,5-b]furan-7-yl ester                                                   |    PRKAG2   |      NO     |     0.00    |
| 3900 |                                                                                                                                        Tricyclo[3.3.1.1~3,7~]tetraarsoxane                                                                                                                                         |     CAV1    |      NO     |     0.00    |
| 3901 |                                                                                                                                                    Thioguanine                                                                                                                                                     |    CAPN2    |      NO     |     0.00    |
| 3902 |                                                                                                                                                     Bms-754807                                                                                                                                                     |     INSR    |      NO     |     0.00    |
| 3903 |                                                                                                                                                     Quercetin                                                                                                                                                      |     ACTB    |      NO     |     0.00    |
| 3904 |                                                                                                                 N-[3-(2,1,3-benzothiadiazol-5-ylamino)quinoxalin-2-yl]-4-methylbenzenesulfonamide                                                                                                                  |     SPP1    |      NO     |     0.00    |
| 3905 |                                                                                                                                        Tricyclo[3.3.1.1~3,7~]tetraarsoxane                                                                                                                                         |    IGLC1    |      NO     |     0.00    |
| 3906 |                                                                                                                                                    Pralsetinib                                                                                                                                                     |    PTBP1    |      NO     |     0.00    |
| 3907 |                                                                                                                                                    Saracatinib                                                                                                                                                     |    PRKAG2   |      NO     |     0.00    |
| 3908 |                                                                                            2-(Ethyl((5-((6-methyl-3-(1H-pyrazol-4-yl)imidazo[1,2-a]pyrazin-8-yl)amino)isothiazol-3-yl)methyl)amino)-2-methylpropan-1-ol                                                                                            |     ETS1    |      NO     |     0.00    |
| 3909 |                                                                                                                                                    Karenitecin                                                                                                                                                     |     PFN2    |      NO     |     0.00    |
| 3910 |                                                                                                                                                    Karenitecin                                                                                                                                                     |    SGMS2    |      NO     |     0.00    |
| 3911 |                                                                                                                                                    Fluorouracil                                                                                                                                                    |   APBB1IP   |      NO     |     0.00    |
| 3912 |                                                                                                                                                     Bms-754807                                                                                                                                                     |    IGF1R    |      NO     |     0.00    |
| 3913 |                               4,12,18-Tetraoxatetracyclo[15.3.1.03,5.011,13] heneicos-14-ene-6,19-dione, 10-hydroxy-8-[2-methoxy-1,3,7-trimethyl-8-(2-methyl-4-oxazolyl)-3,5,7-octatrienyl]-11,16-dimethyl-, [1S-[1R*,3R*,5S*, 8R*(1R*,2S*,3E,5E,7E),10R*,11S*,13S*,14E,16S*,17S*]]-                               |    PRKAG2   |      NO     |     0.00    |
| 3914 |                                                                                                                                                     Motesanib                                                                                                                                                      |   APBB1IP   |      NO     |     0.00    |
| 3915 |                                                                                                                                                    Palomid 529                                                                                                                                                     |     PTK2    |      NO     |     0.00    |
| 3916 |                                                                                                                                  Pyridin-2-yl-(4-pyridin-2-yl-thiazol-2-yl)-amine                                                                                                                                  |    HMGCR    |      NO     |     0.00    |
| 3917 |                                                                                                                                        Tricyclo[3.3.1.1~3,7~]tetraarsoxane                                                                                                                                         |   SERPINB4  |      NO     |     0.00    |
| 3918 |                                                                                                                                                      Zanosar                                                                                                                                                       |    PCBD1    |      NO     |     0.00    |
| 3919 |                                                                                                                                                     Onalespib                                                                                                                                                      |     BST2    |      NO     |     0.00    |
| 3920 |                                                                                                                           N-(3,5-bis(trifluoromethyl)phenyl)-5-chloro-2-hydroxybenzamide                                                                                                                           |   APBB1IP   |      NO     |     0.00    |
| 3921 |                                                                                                                                             Procarbazine hydrochloride                                                                                                                                             |    CKAP4    |      NO     |     0.00    |
| 3922 |                                                                                                                                                    Gedatolisib                                                                                                                                                     |    PSMB8    |      NO     |     0.00    |
| 3923 |                                                                                                                                                    Pralsetinib                                                                                                                                                     |    PTPRF    |      NO     |     0.00    |
| 3924 |                                                                                                                                                     Verubulin                                                                                                                                                      |     TJP1    |      NO     |     0.00    |
| 3925 |                                                                                                                                                    Thioguanine                                                                                                                                                     |   SLC43A3   |      NO     |     0.00    |
| 3926 |                                                                                               (9E)-2,3,16-Trihydroxy-18-methoxy-12-methyl-6,13-dioxatricyclo[13.4.0.05,7]nonadeca-1(15),9,16,18-tetraene-8,14-dione                                                                                                |     NRN1    |      NO     |     0.00    |
| 3927 |                                                                                                                       (Z)-5-((4-(pyridin-4-yl)quinolin-6-yl)methylene)thiazolidine-2,4-dione                                                                                                                       |     MTOR    |      NO     |     0.00    |
| 3928 |                                                                                                                                                 Tamoxifen citrate                                                                                                                                                  |    PSMB8    |      NO     |     0.00    |
| 3929 |                                                                                                                                        Tricyclo[3.3.1.1~3,7~]tetraarsoxane                                                                                                                                         |     PLS3    |      NO     |     0.00    |
| 3930 |                                                                                                                                                    Daunoblastin                                                                                                                                                    |    FXYD5    |      NO     |     0.00    |
| 3931 |                                                                                                                                                     Wortmannin                                                                                                                                                     |    PIK3CA   |      NO     |     0.00    |
| 3932 |                                                                                                   1-(3,3-Dimethylbutyl)-3-[2-fluoro-4-methyl-5-[7-methyl-2-(methylamino)pyrido[2,3-d]pyrimidin-6-yl]phenyl]urea                                                                                                    |    PTBP1    |      NO     |     0.00    |
| 3933 |                                                                                                                                                     Irinotecan                                                                                                                                                     |    TOP1MT   |      NO     |     0.00    |
| 3934 |                                                                                                                                                     Pha-665752                                                                                                                                                     |    PTBP1    |      NO     |     0.00    |
| 3935 |                                                                                                                                                     Menogaril                                                                                                                                                      |    PRKAG2   |      NO     |     0.00    |
| 3936 |                                                                                                                                                     Lexibulin                                                                                                                                                      |    PSMB8    |      NO     |     0.00    |
| 3937 |                                                                                                                                                    Thioguanine                                                                                                                                                     |   APBB1IP   |      NO     |     0.00    |
| 3938 |                                                                                                                                                    Abemaciclib                                                                                                                                                     |     CDK4    |      NO     |     0.00    |
| 3939 |                                                                                               (9E)-2,3,16-Trihydroxy-18-methoxy-12-methyl-6,13-dioxatricyclo[13.4.0.05,7]nonadeca-1(15),9,16,18-tetraene-8,14-dione                                                                                                |    PRKAG2   |      NO     |     0.00    |
| 3940 |                                                                                                                                                    Karenitecin                                                                                                                                                     |    SCRN1    |      NO     |     0.00    |
| 3941 |                                                                                                                                           Aureolic acid, magnesium deriv                                                                                                                                           |    VEGFC    |      NO     |     0.00    |
| 3942 |                                                                                                                                                     Linsitinib                                                                                                                                                     |     INSR    |      NO     |     0.00    |
| 3943 |                                                                                                                                                    Daunoblastin                                                                                                                                                    |     CD24    |      NO     |     0.00    |
| 3944 |                                                                                                                                            2-Methylellipticinium iodide                                                                                                                                            |     APP     |      NO     |     0.00    |
| 3945 |                                                                                                                                                     Canertinib                                                                                                                                                     |     CDK6    |      NO     |     0.00    |
| 3946 |                                                                                                 3-[[(3Z)-3-[[4-(morpholin-4-ylmethyl)-1H-pyrrol-2-yl]methylidene]-2-oxo-1H-indol-5-yl]methyl]-1,3-oxazolidin-2-one                                                                                                 |    PSMB8    |      NO     |     0.00    |
| 3947 |                                                                                                                                    10-Hydroxy-7-trimethylsilylethylcamptothecin                                                                                                                                    |     CD44    |      NO     |     0.00    |
| 3948 |                                                                                                                                   2'-Glutaryltaxol-3-(dimethylamino)propylamide                                                                                                                                    |    PRKAG2   |      NO     |     0.00    |
| 3949 |                                                                                                                                                    Fluorouracil                                                                                                                                                    |     PLS3    |      NO     |     0.00    |
| 3950 |                                                                                                                                       N,N-Dibenzyldaunorubicin hydrochloride                                                                                                                                       |    FXYD5    |      NO     |     0.00    |
| 3951 |                                                                                                                                                    Ixabepilone                                                                                                                                                     |     DDR2    |      NO     |     0.00    |
| 3952 |                                                                                                            1,4-Dihydroxy-5,8-bis[2-(2-hydroxyethylamino)ethylamino]anthracene-9,10-dione hydrochloride                                                                                                             |    RPS4Y1   |      NO     |     0.00    |
| 3953 |                                                                                                            1,4-Dihydroxy-5,8-bis[2-(2-hydroxyethylamino)ethylamino]anthracene-9,10-dione hydrochloride                                                                                                             |     SPP1    |      NO     |     0.00    |
| 3954 |                                                                                                             N-(5-(((5-(1,1-Dimethylethyl)-2-oxazolyl)methyl)thio)-2-thiazolyl)-4-piperidinecarboxamide                                                                                                             |    PSMB8    |      NO     |     0.00    |
| 3955 |                                                                                                            2-(4-(1-(quinolin-6-ylmethyl)-1H-[1,2,3]triazolo[4,5-b]pyrazin-6-yl)-1H-pyrazol-1-yl)ethanol                                                                                                            |     CYBA    |      NO     |     0.00    |
| 3956 |                                                                                                                                                Dimethane sulfonate                                                                                                                                                 |    FXYD5    |      NO     |     0.00    |
| 3957 |                                                                                                                                                     Carboquone                                                                                                                                                     |    PSMB8    |      NO     |     0.00    |
| 3958 |                                                                                                                                                     Gefitinib                                                                                                                                                      |    PRKAG2   |      NO     |     0.00    |
| 3959 |                                                                                                                                 N-(3-chlorophenyl)-6,7-dimethoxyquinazolin-4-amine                                                                                                                                 |    PRKD1    |      NO     |     0.00    |
| 3960 |                                                                                                                                                    Abemaciclib                                                                                                                                                     |     CDK6    |      NO     |     0.00    |
| 3961 |                                                                                                             N-(5-(((5-(1,1-Dimethylethyl)-2-oxazolyl)methyl)thio)-2-thiazolyl)-4-piperidinecarboxamide                                                                                                             |    IFI16    |      NO     |     0.00    |
| 3962 |                                                                                                                                                  Unii-16720ver1H                                                                                                                                                   |     PLK1    |      NO     |     0.00    |
| 3963 |                                                                                                                                                    Adriblastin                                                                                                                                                     |    FXYD5    |      NO     |     0.00    |
| 3964 |                                                                                                                                                    Adriblastin                                                                                                                                                     |    FXYD5    |      NO     |     0.00    |
| 3965 |                                                                                               4,5,6,7-Tetrahydro-11-methoxy-2-((4-methyl-1-piperazinyl)methyl)-1H-cyclopenta(a)pyrrolo(3,4-C)carbazole-1,3(2H)-dione                                                                                               |    PSMB8    |      NO     |     0.00    |
| 3966 |                                                                                                    5-(2-(4-(2-(dimethylamino)ethoxy)phenyl)-5-(pyridin-4-yl)-1H-imidazol-4-yl)-2,3-dihydro-1H-inden-1-one oxime                                                                                                    |    PRKAG2   |      NO     |     0.00    |
| 3967 |                                                                                                                                             Cobimetinib (R-enantiomer)                                                                                                                                             |    PRKAG2   |      NO     |     0.00    |
| 3968 |                                                                                                                                          Salinomycin sodium salt hydrate                                                                                                                                           |    PRKAG2   |      NO     |     0.00    |
| 3969 |                                                                                                2-Methoxy-N-[(2E)-3-[4-[[3-methyl-4-[(6-methyl-3-pyridinyl)oxy]phenyl]amino]-6-quinazolinyl]-2-propen-1-yl]acetamide                                                                                                |     PLK1    |      NO     |     0.00    |
| 3970 |                                                                                                                N-[(2R)-2,3-dihydroxypropoxy]-3,4-difluoro-2-[(2-fluoro-4-iodophenyl)amino]benzamide                                                                                                                |   SLC43A3   |      NO     |     0.00    |
| 3971 |                                                                                                                                             Alanosine monosodium salt                                                                                                                                              |     SPP1    |      NO     |     0.00    |
| 3972 |                                                                                                                                                     Olmutinib                                                                                                                                                      |    IFI16    |      NO     |     0.00    |
| 3973 |                                                                         4-[3-hydroxy-2-methyl-6-[[(1S,3S)-3,5,12-trihydroxy-3-(2-hydroxyacetyl)-10-methoxy-6,11-dioxo-2,4-dihydro-1H-tetracen-1-yl]oxy]oxan-4-yl]morpholine-3-carbonitrile                                                                         |    PCBD1    |      NO     |     0.00    |
| 3974 |                                                                                                                                                    Epothilone B                                                                                                                                                    |    TUBA1A   |      NO     |     0.00    |
| 3975 |                                                                                                                                                DMAPT fumarate salt                                                                                                                                                 |     MIF     |      NO     |     0.00    |
| 3976 |                                                                                                            1,4-Dihydroxy-5,8-bis[2-(2-hydroxyethylamino)ethylamino]anthracene-9,10-dione hydrochloride                                                                                                             |     BST2    |      NO     |     0.00    |
| 3977 |                                                                                                                  2-Methoxy-N-(3-Methyl-2-Oxo-1,2,3,4-Tetrahydroquinazolin-6-Yl)benzenesulfonamide                                                                                                                  |     LCP1    |      NO     |     0.00    |
| 3978 |                                                                                                                                                    Thioguanine                                                                                                                                                     |    RPS4Y1   |      NO     |     0.00    |
| 3979 |                                                                                                     2-((2-fluoro-4-iodophenyl)amino)-N-(2-hydroxyethoxy)-1,5-dimethyl-6-oxo-1,6-dihydropyridine-3-carboxamide                                                                                                      |     APP     |      NO     |     0.00    |
| 3980 |                                                                                                                                                    Thioguanine                                                                                                                                                     |     BST2    |      NO     |     0.00    |
| 3981 |                                                                                                                                                Morpholinoadriamycin                                                                                                                                                |     F11R    |      NO     |     0.00    |
| 3982 |                                                                                                                                                    Thioguanine                                                                                                                                                     |   ANXA2P2   |      NO     |     0.00    |
| 3983 |                                                                                                                           N-(3,5-bis(trifluoromethyl)phenyl)-5-chloro-2-hydroxybenzamide                                                                                                                           |     SPP1    |      NO     |     0.00    |
| 3984 |                                                                                                                                                    Allopurinol                                                                                                                                                     |    IL6ST    |      NO     |     0.00    |
| 3985 |                                                                                                   3,4-Difluoro-2-[(2-Fluoro-4-Iodophenyl)amino]-N-(2-Hydroxyethoxy)-5-[(3-Oxo-1,2-Oxazinan-2-Yl)methyl]benzamide                                                                                                   |    PRKAG2   |      NO     |     0.00    |
| 3986 |                                                                                                                                                    Epothilone B                                                                                                                                                    |    TUBA1B   |      NO     |     0.00    |
| 3987 |                                                                                                                                             Alanosine monosodium salt                                                                                                                                              |    RPS4Y1   |      NO     |     0.00    |
| 3988 |                                                                                                                                                    Epothilone B                                                                                                                                                    |    TUBA1C   |      NO     |     0.00    |
| 3989 |                                                                                                                                                     Guanazole                                                                                                                                                      |    ZBTB38   |      NO     |     0.00    |
| 3990 |                                                                                                                                                     Tivozanib                                                                                                                                                      |    FGFR1    |      NO     |     0.00    |
| 3991 |                                                                                                                                                     Guanazole                                                                                                                                                      |   APBB1IP   |      NO     |     0.00    |
| 3992 |                                                                                                     2-((2-fluoro-4-iodophenyl)amino)-N-(2-hydroxyethoxy)-1,5-dimethyl-6-oxo-1,6-dihydropyridine-3-carboxamide                                                                                                      |    PTBP1    |      NO     |     0.00    |
| 3993 |                                                                                                (R)-3-(2,3-dihydroxypropyl)-6-fluoro-5-(2-fluoro-4-iodophenylamino)-8-methylpyrido[2,3-d]pyrimidine-4,7(3H,8H)-dione                                                                                                |    PTBP1    |      NO     |     0.00    |
| 3994 |                                                                                                                                                    Thioguanine                                                                                                                                                     |     SPP1    |      NO     |     0.00    |
| 3995 |                                                                                                                                                    Thioguanine                                                                                                                                                     |     SPP1    |      NO     |     0.00    |
| 3996 |                                                                                                                       4-(2,6-dichlorobenzamido)-N-(piperidin-4-yl)-1H-pyrazole-3-carboxamide                                                                                                                       |    IFI16    |      NO     |     0.00    |
| 3997 |                                                                                                                                                     Guanazole                                                                                                                                                      |     PLS3    |      NO     |     0.00    |
| 3998 |                                                                         4-[3-hydroxy-2-methyl-6-[[(1S,3S)-3,5,12-trihydroxy-3-(2-hydroxyacetyl)-10-methoxy-6,11-dioxo-2,4-dihydro-1H-tetracen-1-yl]oxy]oxan-4-yl]morpholine-3-carbonitrile                                                                         |     CD24    |      NO     |     0.00    |
| 3999 |                                                                                                                                                    Allopurinol                                                                                                                                                     |     PLS3    |      NO     |     0.00    |
| 4000 |                                                                                                                                                      Sgx-523                                                                                                                                                       |     TJP1    |      NO     |     0.00    |
| 4001 |                                                                                               1-methyl-5-[2-[5-(trifluoromethyl)-1H-imidazol-2-yl]pyridin-4-yl]oxy-N-[4-(trifluoromethyl)phenyl]benzimidazol-2-amine                                                                                               |    PTBP1    |      NO     |     0.00    |
| 4002 |                                                                                                                                                  M2698 free base                                                                                                                                                   |     PLK1    |      NO     |     0.00    |
| 4003 |                                                                                                                                                     Guanazole                                                                                                                                                      |   IGLV1-44  |      NO     |     0.00    |
| 4004 |                                                                                                                                                     Seliciclib                                                                                                                                                     |    MAPK3    |      NO     |     0.00    |
| 4005 |                                                                                                                                                      Sgx-523                                                                                                                                                       |    SGMS2    |      NO     |     0.00    |
| 4006 |                                                                                                                                                     Guanazole                                                                                                                                                      |    IGLC1    |      NO     |     0.00    |
| 4007 |                                                                                      6-[3-[2-[1,4]-Triazolyl-1-propyl]-5,6-dihydro-2,3-dimethox y-8,9-methylenedioxy-5,11-dioxo-11H-indeno[1,2-c]isoquinolin e Hydrochloride                                                                                       |     CDK1    |      NO     |     0.00    |
| 4008 |                                                                                                                                                     Duvelisib                                                                                                                                                      |     PTK2    |      NO     |     0.00    |
| 4009 |                                                                                                                                  Pyridin-2-yl-(4-pyridin-2-yl-thiazol-2-yl)-amine                                                                                                                                  |   APBB1IP   |      NO     |     0.00    |
| 4010 |                                                                                                                                                     Ifosfamide                                                                                                                                                     |    PRKD1    |      NO     |     0.00    |
| 4011 |                                                                                                                                                    Allopurinol                                                                                                                                                     |    TEAD1    |      NO     |     0.00    |
| 4012 |                                                                                                                                                    Allopurinol                                                                                                                                                     |     CAV1    |      NO     |     0.00    |
| 4013 |                                                                                                                                                    Binimetinib                                                                                                                                                     |    PRKAG2   |      NO     |     0.00    |
| 4014 |                                                                                                                                                    Selumetinib                                                                                                                                                     |    PTBP1    |      NO     |     0.00    |
| 4015 |                                                                                                                                  Pyridin-2-yl-(4-pyridin-2-yl-thiazol-2-yl)-amine                                                                                                                                  |   SLC43A3   |      NO     |     0.00    |
