,Term,Adjusted P-value,Genes,drug
13,Mitotic Spindle,0.0481955256812349,CDK1;NEK2;TTK;AURKA,681644
14,Glycolysis,0.0481955256812349,CDK1;MERTK;EGFR;AURKA,681644
0,Complement,2.898452351012945e-05,CA2;CTSL;LCK;FDX1;PRKCD;PIM1;FYN;RAF1;CTSS,681645
1,E2F Targets,0.0001473202678322468,PLK4;WEE1;MELK;LIG1;CHEK1;CDK1;DCK;AURKA,681645
2,UV Response Up,0.00019389238398477565,KCNH2;RET;CA2;NTRK3;PRKCD;TYRO3;HSPA2,681645
3,G2-M Checkpoint,0.0005256430216897934,PLK4;CHEK1;CDK1;NEK2;TTK;MAPK14;AURKA,681645
4,Allograft Rejection,0.0005256430216897934,MAP4K1;ITK;ZAP70;LCK;ITGAL;EGFR;CTSS,681645
5,PI3K/AKT/mTOR  Signaling,0.0012246379846625,MAP2K3;LCK;CDK1;RAF1;EGFR,681645
6,Xenobiotic Metabolism,0.0028973133001842,ALDH2;CA2;AKR1C3;HPRT1;PGD;ESR1,681645
7,Spermatogenesis,0.0029308779503639,CDK1;NEK2;TTK;HSPA2;AURKA,681645
8,UV Response Dn,0.0034890062584696,PDGFRB;ERBB2;PIK3CD;FYN;MAPK14,681645
9,Estrogen Response Late,0.0110794048291271,PLK4;RET;CA2;PGR;HPRT1,681645
10,Apical Junction,0.0110794048291271,KCNH2;SYK;CDH11;MAPK14;EGFR,681645
11,KRAS Signaling Up,0.0110794048291271,MAP4K1;CA2;PTGS2;EPHB2;CTSS,681645
12,Mitotic Spindle,0.0451833053261577,CDK1;NEK2;TTK;AURKA,681645
13,TNF-alpha Signaling via NF-kB,0.0451833053261577,MAP2K3;PLK2;SIK1;PTGS2,681645
14,Inflammatory Response,0.0451833053261577,AXL;LCK;AHR;RAF1,681645
15,Glycolysis,0.0451833053261577,CDK1;MERTK;EGFR;AURKA,681645
0,Complement,0.0002835676115777344,CA2;CTSL;LCK;FDX1;PRKCD;PIM1;FYN;CTSS,681646
1,UV Response Up,0.0002835676115777344,KCNH2;RET;CA2;PPAT;NTRK3;PRKCD;HSPA2,681646
2,E2F Targets,0.0006406274326844358,POLE4;WEE1;MELK;LIG1;CHEK1;CDK1;DCK,681646
3,Allograft Rejection,0.0006406274326844358,MAP4K1;ITK;ZAP70;LCK;ITGAL;EGFR;CTSS,681646
4,Xenobiotic Metabolism,0.0039548326547515,ALDH2;CA2;AKR1C3;HPRT1;PGD;ESR1,681646
5,UV Response Dn,0.0051026716530118,PDGFRB;ERBB2;PIK3CD;FYN;MAPK14,681646
6,PI3K/AKT/mTOR  Signaling,0.0106489670055879,MAP2K3;LCK;CDK1;EGFR,681646
7,Apical Junction,0.0144032262778653,KCNH2;SYK;CDH11;MAPK14;EGFR,681646
8,KRAS Signaling Up,0.0144032262778653,MAP4K1;CA2;PTGS2;EPHB2;CTSS,681646
9,DNA Repair,0.0266439483256687,POLE4;LIG1;HPRT1;ADA,681646
10,Androgen Response,0.0490044141332807,STK39;PTK2B;MERTK,681646
0,Complement,3.043374968563592e-05,CA2;CTSL;LCK;FDX1;PRKCD;PIM1;FYN;RAF1;CTSS,682298
1,E2F Targets,0.00015468628122385913,POLE4;PLK4;WEE1;MELK;LIG1;CHEK1;CDK1;DCK,682298
2,Allograft Rejection,0.0009198752879571384,MAP4K1;ITK;ZAP70;LCK;ITGAL;EGFR;CTSS,682298
3,UV Response Up,0.0015003199969931,KCNH2;RET;CA2;NTRK3;PRKCD;HSPA2,682298
4,PI3K/AKT/mTOR  Signaling,0.0015430438606748,MAP2K3;LCK;CDK1;RAF1;EGFR,682298
5,UV Response Dn,0.0054951848570896,PDGFRB;ERBB2;PIK3CD;FYN;MAPK14,682298
6,G2-M Checkpoint,0.0126909546224547,PLK4;CHEK1;CDK1;TTK;MAPK14,682298
7,Apical Junction,0.0126909546224547,KCNH2;SYK;CDH11;MAPK14;EGFR,682298
8,Inflammatory Response,0.0126909546224547,AXL;LCK;EIF2AK2;AHR;RAF1,682298
9,Xenobiotic Metabolism,0.0126909546224547,ALDH2;CA2;AKR1C3;PGD;ESR1,682298
10,KRAS Signaling Up,0.0126909546224547,MAP4K1;CA2;PTGS2;EPHB2;CTSS,682298
11,Androgen Response,0.0483761524136232,STK39;PTK2B;MERTK,682298
0,Complement,2.9709136597882687e-05,CA2;CTSL;LCK;FDX1;PRKCD;PIM1;FYN;CTSS;PIK3CG,683555
1,E2F Targets,0.00015100327452805296,POLE4;PLK4;WEE1;MELK;LIG1;CHEK1;CDK1;DCK,683555
2,Allograft Rejection,0.0008979734953867304,MAP4K1;ITK;ZAP70;LCK;ITGAL;EGFR;CTSS,683555
3,UV Response Up,0.0014645980923028,KCNH2;RET;CA2;NTRK3;PRKCD;HSPA2,683555
4,G2-M Checkpoint,0.0041576445857644,PLK4;CHEK1;CDK1;NEK2;TTK;MAPK14,683555
5,UV Response Dn,0.005364347122397,PDGFRB;ERBB2;PIK3CD;FYN;MAPK14,683555
6,Estrogen Response Late,0.0136276679398264,PLK4;RET;CA2;PGR;HPRT1,683555
7,Apical Junction,0.0136276679398264,KCNH2;SYK;CDH11;MAPK14;EGFR,683555
8,Xenobiotic Metabolism,0.0136276679398264,CA2;AKR1C3;HPRT1;PGD;ESR1,683555
9,KRAS Signaling Up,0.0136276679398264,MAP4K1;CA2;PTGS2;EPHB2;CTSS,683555
10,Spermatogenesis,0.0176014257728361,CDK1;NEK2;TTK;HSPA2,683555
11,DNA Repair,0.0233419205417183,POLE4;LIG1;HPRT1;ADA,683555
12,PI3K/AKT/mTOR  Signaling,0.0496429292683036,LCK;CDK1;EGFR,683555
0,Complement,2.898452351012945e-05,CA2;CTSL;LCK;FDX1;PRKCD;PIM1;FYN;RAF1;CTSS,683556
1,UV Response Up,0.0002908385759771635,KCNH2;RET;CA2;NTRK3;PRKCD;TYRO3;HSPA2,683556
2,E2F Targets,0.0008760717028163224,POLE4;WEE1;MELK;CDK4;CHEK1;CDK1;DCK,683556
3,PI3K/AKT/mTOR  Signaling,0.0018369569769938,MAP2K3;CDK4;LCK;CDK1;RAF1,683556
4,Xenobiotic Metabolism,0.0033801988502149,ALDH2;CA2;AKR1C3;HPRT1;PGD;ESR1,683556
5,Allograft Rejection,0.0033801988502149,MAP4K1;ITK;ZAP70;LCK;ITGAL;CTSS,683556
6,UV Response Dn,0.0044858651894609,PDGFRB;ERBB2;PIK3CD;FYN;MAPK14,683556
7,G2-M Checkpoint,0.0147725397721695,CDK4;CHEK1;CDK1;TTK;MAPK14,683556
8,KRAS Signaling Up,0.0147725397721695,MAP4K1;CA2;PTGS2;EPHB2;CTSS,683556
9,Androgen Response,0.0451833053261577,STK39;PTK2B;MERTK,683556
10,IL-2/STAT5 Signaling,0.0451833053261577,CA2;PIM1;AHR;HIPK2,683556
11,TNF-alpha Signaling via NF-kB,0.0451833053261577,MAP2K3;PLK2;SIK1;PTGS2,683556
12,Estrogen Response Late,0.0451833053261577,RET;CA2;PGR;HPRT1,683556
13,Apical Junction,0.0451833053261577,KCNH2;SYK;CDH11;MAPK14,683556
14,Myc Targets V1,0.0451833053261577,HDAC2;CDK4;RUVBL2;HPRT1,683556
15,Inflammatory Response,0.0451833053261577,AXL;LCK;AHR;RAF1,683556
0,UV Response Up,4.9808756377585315e-05,KCNH2;RET;CA2;PPAT;NTRK3;PRKCD;TYRO3;HSPA2,683557
1,Complement,9.57581740909604e-05,CA2;CTSL;LCK;FDX1;PRKCD;PIM1;FYN;CTSS,683557
2,E2F Targets,9.57581740909604e-05,POLE4;WEE1;MELK;LIG1;CHEK1;CDK1;DCK;AURKA,683557
3,Allograft Rejection,0.0006406274326844358,MAP4K1;ITK;ZAP70;LCK;ITGAL;EGFR;CTSS,683557
4,G2-M Checkpoint,0.0032658354304055,CHEK1;CDK1;NEK2;TTK;MAPK14;AURKA,683557
5,Xenobiotic Metabolism,0.0032658354304055,ALDH2;CA2;AKR1C3;HPRT1;PGD;ESR1,683557
6,Spermatogenesis,0.0032658354304055,CDK1;NEK2;TTK;HSPA2;AURKA,683557
7,UV Response Dn,0.0038270037397588,PDGFRB;ERBB2;PIK3CD;FYN;MAPK14,683557
8,PI3K/AKT/mTOR  Signaling,0.008282529893235,MAP2K3;LCK;CDK1;EGFR,683557
9,Apical Junction,0.0117844578637079,KCNH2;SYK;CDH11;MAPK14;EGFR,683557
10,KRAS Signaling Up,0.0117844578637079,MAP4K1;CA2;PTGS2;EPHB2;CTSS,683557
11,DNA Repair,0.0222032902713906,POLE4;LIG1;HPRT1;ADA,683557
12,Mitotic Spindle,0.0440537226930038,CDK1;NEK2;TTK;AURKA,683557
13,TNF-alpha Signaling via NF-kB,0.0440537226930038,MAP2K3;PLK2;SIK1;PTGS2,683557
14,Estrogen Response Late,0.0440537226930038,RET;CA2;PGR;HPRT1,683557
15,Glycolysis,0.0440537226930038,CDK1;MERTK;EGFR;AURKA,683557
0,Complement,2.9709136597882687e-05,CA2;CTSL;LCK;FDX1;PRKCD;PIM1;FYN;RAF1;CTSS,683558
1,E2F Targets,0.00015100327452805296,WEE1;MELK;LIG1;CDK4;CHEK1;CDK1;DCK;AURKA,683558
2,UV Response Up,0.00019873969358439505,KCNH2;RET;CA2;PPAT;NTRK3;PRKCD;HSPA2,683558
3,G2-M Checkpoint,0.0005387840972320382,CDK4;CHEK1;CDK1;NEK2;TTK;MAPK14;AURKA,683558
4,Allograft Rejection,0.0005387840972320382,MAP4K1;ITK;ZAP70;LCK;ITGAL;EGFR;CTSS,683558
5,PI3K/AKT/mTOR  Signaling,0.0012552539342791,CDK4;LCK;CDK1;RAF1;EGFR,683558
6,Apical Junction,0.0025985278661027,KCNH2;MAP4K2;SYK;CDH11;MAPK14;EGFR,683558
7,Xenobiotic Metabolism,0.0025985278661027,ALDH2;CA2;AKR1C3;HPRT1;PGD;ESR1,683558
8,Spermatogenesis,0.0026703554658871,CDK1;NEK2;TTK;HSPA2;AURKA,683558
9,UV Response Dn,0.0032186082734382,PDGFRB;ERBB2;PIK3CD;FYN;MAPK14,683558
10,KRAS Signaling Up,0.0123887890362058,MAP4K1;CA2;PTGS2;EPHB2;CTSS,683558
11,Androgen Response,0.0435886004322933,STK39;PTK2B;MERTK,683558
12,Mitotic Spindle,0.0435886004322933,CDK1;NEK2;TTK;AURKA,683558
13,IL-2/STAT5 Signaling,0.0435886004322933,CA2;PIM1;AHR;HIPK2,683558
14,Estrogen Response Late,0.0435886004322933,RET;CA2;PGR;HPRT1,683558
15,Myc Targets V1,0.0435886004322933,HDAC2;CDK4;RUVBL2;HPRT1,683558
16,Glycolysis,0.0435886004322933,CDK1;MERTK;EGFR;AURKA,683558
0,Complement,0.0002971024792011053,CA2;CTSL;LCK;FDX1;PIM1;FYN;RAF1;CTSS,694501
1,PI3K/AKT/mTOR  Signaling,0.0002971024792011053,MAP2K3;CDK4;LCK;CDK1;RAF1;EGFR,694501
2,E2F Targets,0.0006734801215400478,WEE1;MELK;CDK4;CHEK1;CDK1;DCK;AURKA,694501
3,Allograft Rejection,0.0006734801215400478,MAP4K1;ITK;ZAP70;LCK;ITGAL;EGFR;CTSS,694501
4,UV Response Up,0.0011716784738422,KCNH2;RET;CA2;PPAT;NTRK3;HSPA2,694501
5,G2-M Checkpoint,0.0034647038214703,CDK4;CHEK1;CDK1;TTK;MAPK14;AURKA,694501
6,UV Response Dn,0.0045980118191974,PDGFRB;ERBB2;PIK3CD;FYN;MAPK14,694501
7,Apical Junction,0.0136276679398264,KCNH2;SYK;CDH11;MAPK14;EGFR,694501
8,Xenobiotic Metabolism,0.0136276679398264,ALDH2;CA2;AKR1C3;PGD;ESR1,694501
9,KRAS Signaling Up,0.0136276679398264,MAP4K1;CA2;PTGS2;EPHB2;CTSS,694501
10,Spermatogenesis,0.0176014257728361,CDK1;TTK;HSPA2;AURKA,694501
11,Androgen Response,0.0463128879593117,STK39;PTK2B;MERTK,694501
12,Mitotic Spindle,0.0463128879593117,CDK1;TTK;MARK4;AURKA,694501
13,IL-2/STAT5 Signaling,0.0463128879593117,CA2;PIM1;AHR;HIPK2,694501
14,TNF-alpha Signaling via NF-kB,0.0463128879593117,MAP2K3;PLK2;SIK1;PTGS2,694501
15,Glycolysis,0.0463128879593117,CDK1;MERTK;EGFR;AURKA,694501
0,Complement,1.4854568298941343e-05,CA2;CTSL;LCK;FDX1;PRKCD;PIM1;FYN;RAF1;CTSS,697887
1,E2F Targets,1.4854568298941343e-05,PLK4;WEE1;MELK;LIG1;CDK4;CHEK1;CDK1;DCK;AURKA,697887
2,G2-M Checkpoint,0.00010066884968536863,PLK4;CDK4;CHEK1;CDK1;NEK2;TTK;MAPK14;AURKA,697887
3,PI3K/AKT/mTOR  Signaling,0.00014855123960055266,MAP2K3;CDK4;LCK;CDK1;RAF1;EGFR,697887
4,Allograft Rejection,0.0005387840972320382,MAP4K1;ITK;ZAP70;LCK;ITGAL;EGFR;CTSS,697887
5,UV Response Up,0.000976398728201914,KCNH2;RET;CA2;NTRK3;PRKCD;HSPA2,697887
6,Xenobiotic Metabolism,0.0029697461326888,ALDH2;CA2;AKR1C3;HPRT1;PGD;ESR1,697887
7,Spermatogenesis,0.003004149899123,CDK1;NEK2;TTK;HSPA2;AURKA,697887
8,UV Response Dn,0.0035762314149313,PDGFRB;ERBB2;PIK3CD;FYN;MAPK14,697887
12,KRAS Signaling Up,0.0104828214921741,MAP4K1;CA2;PTGS2;EPHB2;CTSS,697887
11,Apical Junction,0.0104828214921741,KCNH2;SYK;CDH11;MAPK14;EGFR,697887
9,Myc Targets V2,0.0104828214921741,PLK4;CDK4;MAP3K6,697887
10,Estrogen Response Late,0.0104828214921741,PLK4;RET;CA2;PGR;HPRT1,697887
13,DNA Repair,0.02000736046433,POLB;LIG1;HPRT1;ADA,697887
18,Inflammatory Response,0.0370503103674493,AXL;LCK;AHR;RAF1,697887
14,Mitotic Spindle,0.0370503103674493,CDK1;NEK2;TTK;AURKA,697887
15,IL-2/STAT5 Signaling,0.0370503103674493,CA2;PIM1;AHR;HIPK2,697887
16,TNF-alpha Signaling via NF-kB,0.0370503103674493,MAP2K3;PLK2;SIK1;PTGS2,697887
17,Myc Targets V1,0.0370503103674493,HDAC2;CDK4;RUVBL2;HPRT1,697887
19,Glycolysis,0.0370503103674493,CDK1;MERTK;EGFR;AURKA,697887
0,Allograft Rejection,0.0017083398204918,SIT1;IL1B;CD7;IL2RG;CD3E;CD3D;ELANE,698037
1,Epithelial Mesenchymal Transition,0.0432096788335959,SFRP4;COL3A1;MMP1;MGP;MMP3,698037
0,E2F Targets,2.9709136597882687e-05,POLE4;WEE1;MELK;LIG1;CDK4;CHEK1;CDK1;DCK;AURKA,706744
1,Complement,0.00015100327452805296,CA2;CTSL;LCK;FDX1;PRKCD;PIM1;FYN;CTSS,706744
2,Allograft Rejection,0.0008979734953867304,MAP4K1;ITK;ZAP70;LCK;ITGAL;EGFR;CTSS,706744
3,UV Response Up,0.0014645980923028,KCNH2;RET;CA2;NTRK3;PRKCD;HSPA2,706744
4,PI3K/AKT/mTOR  Signaling,0.0015063047211349,MAP2K3;CDK4;LCK;CDK1;EGFR,706744
5,G2-M Checkpoint,0.0034647038214703,CDK4;CHEK1;CDK1;TTK;MAPK14;AURKA,706744
6,UV Response Dn,0.0045980118191974,PDGFRB;ERBB2;PIK3CD;FYN;MAPK14,706744
9,KRAS Signaling Up,0.0136276679398264,MAP4K1;CA2;PTGS2;EPHB2;CTSS,706744
8,Xenobiotic Metabolism,0.0136276679398264,CA2;AKR1C3;HPRT1;PGD;ESR1,706744
7,Apical Junction,0.0136276679398264,KCNH2;SYK;CDH11;MAPK14;EGFR,706744
10,Spermatogenesis,0.0176014257728361,CDK1;TTK;HSPA2;AURKA,706744
11,DNA Repair,0.0233419205417183,POLE4;LIG1;HPRT1;ADA,706744
12,Androgen Response,0.0435886004322933,STK39;PTK2B;MERTK,706744
13,TNF-alpha Signaling via NF-kB,0.0435886004322933,MAP2K3;PLK2;SIK1;PTGS2,706744
14,Estrogen Response Late,0.0435886004322933,RET;CA2;PGR;HPRT1,706744
15,Myc Targets V1,0.0435886004322933,HDAC2;CDK4;RUVBL2;HPRT1,706744
16,Glycolysis,0.0435886004322933,CDK1;MERTK;EGFR;AURKA,706744
0,Complement,2.530659690179851e-06,CA2;CTSL;LCK;FDX1;PRKCD;PIM1;FYN;RAF1;CTSS;PIK3CG,708298
1,UV Response Up,0.0002908385759771635,KCNH2;RET;CA2;NTRK3;PRKCD;TYRO3;HSPA2,708298
2,Allograft Rejection,0.0008760717028163224,MAP4K1;ITK;ZAP70;LCK;ITGAL;EGFR;CTSS,708298
3,E2F Targets,0.0050702982753224,POLE4;WEE1;MELK;CHEK1;CDK1;DCK,708298
4,UV Response Dn,0.0062802112652453,PDGFRB;ERBB2;PIK3CD;FYN;MAPK14,708298
5,PI3K/AKT/mTOR  Signaling,0.0127423536819,LCK;CDK1;RAF1;EGFR,708298
6,G2-M Checkpoint,0.0132952857949526,CHEK1;CDK1;NEK2;TTK;MAPK14,708298
7,Apical Junction,0.0132952857949526,KCNH2;SYK;CDH11;MAPK14;EGFR,708298
8,Xenobiotic Metabolism,0.0132952857949526,ALDH2;CA2;AKR1C3;HPRT1;ESR1,708298
9,KRAS Signaling Up,0.0132952857949526,MAP4K1;CA2;PTGS2;EPHB2;CTSS,708298
10,Spermatogenesis,0.017172122705206,CDK1;NEK2;TTK;HSPA2,708298
0,Complement,2.9709136597882687e-05,CA2;CTSL;LCK;FDX1;PRKCD;PIM1;FYN;RAF1;CTSS,709237
1,E2F Targets,0.00014905477018829628,POLE4;WEE1;MELK;LIG1;CDK4;CHEK1;CDK1;DCK,709237
2,PI3K/AKT/mTOR  Signaling,0.00014905477018829628,MAP2K3;CDK4;LCK;CDK1;RAF1;EGFR,709237
3,UV Response Up,0.00014905477018829628,KCNH2;RET;CA2;PPAT;NTRK3;PRKCD;HSPA2,709237
4,Allograft Rejection,0.0005387840972320382,MAP4K1;ITK;ZAP70;LCK;ITGAL;EGFR;CTSS,709237
5,UV Response Dn,0.005364347122397,PDGFRB;ERBB2;PIK3CD;FYN;MAPK14,709237
6,G2-M Checkpoint,0.0136276679398264,CDK4;CHEK1;CDK1;TTK;MAPK14,709237
7,Apical Junction,0.0136276679398264,KCNH2;SYK;CDH11;MAPK14;EGFR,709237
8,Xenobiotic Metabolism,0.0136276679398264,ALDH2;CA2;AKR1C3;HPRT1;ESR1,709237
9,KRAS Signaling Up,0.0136276679398264,MAP4K1;CA2;PTGS2;EPHB2;CTSS,709237
10,DNA Repair,0.0254639133182382,POLE4;LIG1;HPRT1;ADA,709237
11,IL-2/STAT5 Signaling,0.0463128879593117,CA2;PIM1;AHR;HIPK2,709237
12,TNF-alpha Signaling via NF-kB,0.0463128879593117,MAP2K3;PLK2;SIK1;PTGS2,709237
13,Estrogen Response Late,0.0463128879593117,RET;CA2;PGR;HPRT1,709237
14,Myc Targets V1,0.0463128879593117,HDAC2;CDK4;RUVBL2;HPRT1,709237
15,Inflammatory Response,0.0463128879593117,AXL;LCK;AHR;RAF1,709237
0,Allograft Rejection,0.0001841503347903085,CD8B;SIT1;IL1B;CD7;IL2RG;CD3E;CD3D;ELANE,710270
1,Epithelial Mesenchymal Transition,0.0008213172213903023,SFRP4;POSTN;COL3A1;MMP1;MGP;MMP3;BGN,710270
2,KRAS Signaling Up,0.0042252485627687,SERPINA3;FCER1G;IL1B;TSPAN7;IGF2;IL2RG,710270
3,Angiogenesis,0.0048011064599996,POSTN;COL3A1;PRG2,710270
4,IL-6/JAK/STAT3 Signaling,0.0474556018589082,IL1B;PLA2G2A;IL2RG,710270
0,Allograft Rejection,0.0116616860332417,SIT1;CD7;IL2RG;CD3E;CD3D;ELANE,719276
1,Epithelial Mesenchymal Transition,0.0382239466604887,COL3A1;COL1A2;MMP1;MGP;MMP3,719276
0,Allograft Rejection,0.0121687158607739,CD8B;SIT1;CD7;CD3E;CD3D;ELANE,719627
1,KRAS Signaling Up,0.0265905715899052,SERPINA3;ABCB1;FCER1G;CA2;PTGS2,719627
2,Epithelial Mesenchymal Transition,0.0265905715899052,COL3A1;MMP1;MGP;CDH11;MMP3,719627
0,Allograft Rejection,0.0001988823615735332,CD8B;SIT1;IL1B;CD7;IL2RG;CD3E;CD3D;ELANE,721517
1,Epithelial Mesenchymal Transition,0.0068449026716853,COL3A1;COL1A2;MMP1;MGP;MMP3;BGN,721517
2,KRAS Signaling Up,0.0299143930386433,SERPINA3;FCER1G;IL1B;APOD;IL2RG,721517
0,Complement,2.4673931979253548e-06,CA2;CTSL;LCK;FDX1;PRKCD;PIM1;FYN;RAF1;CTSS;PIK3CG,724998
1,UV Response Up,0.0002835676115777344,KCNH2;RET;CA2;NTRK3;PRKCD;TYRO3;HSPA2,724998
2,PI3K/AKT/mTOR  Signaling,0.002388044070092,MAP2K3;LCK;CSNK2B;CDK1;RAF1,724998
3,E2F Targets,0.0039548326547515,POLE4;WEE1;MELK;CHEK1;CDK1;DCK,724998
4,Allograft Rejection,0.0039548326547515,MAP4K1;ITK;ZAP70;LCK;ITGAL;CTSS,724998
5,UV Response Dn,0.0051026716530118,PDGFRB;ERBB2;PIK3CD;FYN;MAPK14,724998
6,G2-M Checkpoint,0.0144032262778653,CHEK1;CDK1;NEK2;TTK;MAPK14,724998
7,Xenobiotic Metabolism,0.0144032262778653,ALDH2;CA2;AKR1C3;HPRT1;ESR1,724998
8,KRAS Signaling Up,0.0144032262778653,MAP4K1;CA2;PTGS2;EPHB2;CTSS,724998
9,Spermatogenesis,0.0184171016013334,CDK1;NEK2;TTK;HSPA2,724998
0,Complement,1.2843693246543035e-05,CA2;CTSL;LCK;FDX1;PRKCD;PIM1;FYN;RAF1;CTSS,725776
1,E2F Targets,1.2843693246543035e-05,PLK4;WEE1;MELK;LIG1;CDK4;CHEK1;CDK1;DCK;AURKA,725776
2,PI3K/AKT/mTOR  Signaling,1.2843693246543035e-05,MAP2K3;TBK1;CDK4;LCK;CDK1;RAF1;EGFR,725776
3,G2-M Checkpoint,7.36601339161234e-05,PLK4;CDK4;CHEK1;CDK1;NEK2;TTK;MAPK14;AURKA,725776
4,UV Response Up,0.0001163354303908654,KCNH2;RET;CA2;NTRK3;PRKCD;TYRO3;HSPA2,725776
5,Allograft Rejection,0.0004380358514081612,MAP4K1;ITK;ZAP70;LCK;ITGAL;EGFR;CTSS,725776
6,Apical Junction,0.0025351491376612,KCNH2;MAP4K2;SYK;CDH11;MAPK14;EGFR,725776
7,Xenobiotic Metabolism,0.0025351491376612,ALDH2;CA2;AKR1C3;HPRT1;PGD;ESR1,725776
8,Spermatogenesis,0.0026052248447679,CDK1;NEK2;TTK;HSPA2;AURKA,725776
9,UV Response Dn,0.0031401056326226,PDGFRB;ERBB2;PIK3CD;FYN;MAPK14,725776
10,Estrogen Response Late,0.0110794048291271,PLK4;RET;CA2;PGR;HPRT1,725776
11,KRAS Signaling Up,0.0110794048291271,MAP4K1;CA2;PTGS2;EPHB2;CTSS,725776
12,Androgen Response,0.0401629380676957,STK39;PTK2B;MERTK,725776
13,Mitotic Spindle,0.0401629380676957,CDK1;NEK2;TTK;AURKA,725776
14,TNF-alpha Signaling via NF-kB,0.0401629380676957,MAP2K3;PLK2;SIK1;PTGS2,725776
15,mTORC1 Signaling,0.0401629380676957,MAP2K3;TBK1;HPRT1;AURKA,725776
16,Myc Targets V1,0.0401629380676957,HDAC2;CDK4;RUVBL2;HPRT1,725776
17,Glycolysis,0.0401629380676957,CDK1;MERTK;EGFR;AURKA,725776
0,Allograft Rejection,0.001774045198203,SIT1;IL1B;CD7;IL2RG;CD3E;CD3D;ELANE,728073
1,KRAS Signaling Up,0.044871589557965,SERPINA3;FCER1G;IL1B;TSPAN7;IL2RG,728073
0,Complement,2.8259910422376216e-05,CA2;CTSL;LCK;FDX1;PIM1;FYN;RAF1;CTSS;PIK3CG,734294
1,UV Response Dn,0.0016731571876863,PDGFRB;ERBB2;KIT;PIK3CD;FYN;MAPK14,734294
2,Xenobiotic Metabolism,0.0049435408184394,ALDH2;CA2;AKR1C3;HPRT1;PGD;ESR1,734294
3,Allograft Rejection,0.0049435408184394,MAP4K1;ITK;ZAP70;LCK;ITGAL;CTSS,734294
4,UV Response Up,0.0092754994156715,KCNH2;RET;CA2;NTRK3;HSPA2,734294
5,PI3K/AKT/mTOR  Signaling,0.0124237948398525,MAP2K3;LCK;CDK1;RAF1,734294
6,KRAS Signaling Up,0.0185184337858268,MAP4K1;CA2;PTGS2;EPHB2;CTSS,734294
0,Complement,2.8259910422376216e-05,CA2;CTSL;LCK;FDX1;PRKCD;PIM1;FYN;CTSS;PIK3CG,735037
1,UV Response Up,0.0002835676115777344,KCNH2;RET;CA2;NTRK3;PRKCD;TYRO3;HSPA2,735037
2,UV Response Dn,0.0011154381251242,PDGFRB;PRKCE;ERBB2;PIK3CD;FYN;MAPK14,735037
3,Allograft Rejection,0.0039548326547515,MAP4K1;ITK;ZAP70;LCK;ITGAL;CTSS,735037
4,KRAS Signaling Up,0.0039548326547515,MAP4K1;CA2;FLT4;PTGS2;EPHB2;CTSS,735037
5,G2-M Checkpoint,0.0129629036500787,CHEK1;CDK1;TTK;MAPK14;AURKA,735037
6,Estrogen Response Late,0.0129629036500787,RET;CA2;PGR;HPRT1;MAPK13,735037
7,Apical Junction,0.0129629036500787,KCNH2;SYK;CDH11;MAPK14;MAPK13,735037
8,E2F Targets,0.0129629036500787,WEE1;CHEK1;CDK1;DCK;AURKA,735037
9,Xenobiotic Metabolism,0.0129629036500787,CA2;AKR1C3;HPRT1;PGD;ESR1,735037
10,Spermatogenesis,0.0167428196375758,CDK1;TTK;HSPA2;AURKA,735037
11,Androgen Response,0.0449207129555073,STK39;PTK2B;MERTK,735037
12,PI3K/AKT/mTOR  Signaling,0.0472213229625327,LCK;MKNK1;CDK1,735037
0,Complement,1.974717836655992e-05,CA2;CTSL;LCK;FDX1;PRKCD;PIM1;FYN;RAF1;CTSS,736198
1,PI3K/AKT/mTOR  Signaling,1.974717836655992e-05,MAP2K3;CDK4;LCK;CSNK2B;CDK1;RAF1;EGFR,736198
2,E2F Targets,0.00010066884968536863,POLE4;WEE1;MELK;LIG1;CDK4;CHEK1;CDK1;DCK,736198
3,UV Response Up,0.00014905477018829628,KCNH2;RET;CA2;NTRK3;PRKCD;TYRO3;HSPA2,736198
4,Allograft Rejection,0.0005387840972320382,MAP4K1;ITK;ZAP70;LCK;ITGAL;EGFR;CTSS,736198
5,Xenobiotic Metabolism,0.0034647038214703,ALDH2;CA2;AKR1C3;HPRT1;PGD;ESR1,736198
6,UV Response Dn,0.0045980118191974,PDGFRB;ERBB2;PIK3CD;FYN;MAPK14,736198
7,G2-M Checkpoint,0.0136276679398264,CDK4;CHEK1;CDK1;TTK;MAPK14,736198
8,Apical Junction,0.0136276679398264,KCNH2;SYK;CDH11;MAPK14;EGFR,736198
9,KRAS Signaling Up,0.0136276679398264,MAP4K1;CA2;PTGS2;EPHB2;CTSS,736198
10,DNA Repair,0.0254639133182382,POLE4;LIG1;HPRT1;ADA,736198
11,Androgen Response,0.0463128879593117,STK39;PTK2B;MERTK,736198
12,IL-2/STAT5 Signaling,0.0463128879593117,CA2;PIM1;AHR;HIPK2,736198
13,TNF-alpha Signaling via NF-kB,0.0463128879593117,MAP2K3;PLK2;SIK1;PTGS2,736198
14,Estrogen Response Late,0.0463128879593117,RET;CA2;PGR;HPRT1,736198
15,Myc Targets V1,0.0463128879593117,HDAC2;CDK4;RUVBL2;HPRT1,736198
0,E2F Targets,2.898452351012945e-05,PLK4;WEE1;MELK;LIG1;CDK4;CHEK1;CDK1;DCK;AURKA,736201
